subgroup	genus	species	hosts	reference	fungus	host_genus	host_species
polita	Drosophila	bipolita	gill fungi	Heed 1968	TRUE	gill fungus	
cilifemorata	Drosophila	chicae	fungi	new record	TRUE	fungus	
cilifemorata	Drosophila	curtitarsis	mushrooms	new record	TRUE	mushroom	
polita	Drosophila	demipolita	gill fungi	Heed 1968	TRUE	gill fungus	
cilifemorata	Drosophila	denotata	fleshy fung	Hardy 1965	TRUE	fleshy fungus	
haleakalae	Drosophila	fungiperda	Polyporus sulphrea	Spieth 1967	TRUE	Polyporus	sulphrea
cilifemorata	Drosophila	iki	gill fungi	Heed 1968	TRUE	gill fungus	
polita	Drosophila	illusiopolita	gill fungi	Heed 1968	TRUE	gill fungus	
luteola	Drosophila	luteola	gill fungi	Heed 1968	TRUE	gill fungus	
haleakalae	Drosophila	macrochaetae	soft-shelf fungus	Hardy 1965	TRUE	soft-shelf fungus	
anthrax	Drosophila	melanoloma	Agaricus sp.	Heed 1968	TRUE	Agaricus	
haleakalae	Drosophila	nigella	Polyporus sulphrea	Heed 1968	TRUE	Polyporus	sulphrea
haleakalae	Drosophila	ochropleura	gill fungi	new record	TRUE	gill fungus	
polita	Drosophila	polita	gill fungi	new record	TRUE	gill fungus	
