subgroup	genus	species	host_genus	substrate	individuals
ceratostoma	Drosophila	orascopa			
ceratostoma	Drosophila	wikani			
freycinetiae	Drosophila	anapuu	Freycinetia	stems	1
freycinetiae	Drosophila	dentilabia	Freycinetia	leaf axils	1 ?
freycinetiae	Drosophila	kualii			
freycinetiae	Drosophila	nalomano	Wikstroemia, Touchardia	bark	2
semifuscata	Drosophila	mandibulata			
semifuscata	Drosophila	peloristoma	Acacia, Mysine, Nestegis	sap flux	4
semifuscata	Drosophila	wawae			
setiger	Drosophila	desallei	Pisonia	bark	1
unplaced	Drosophila	apiki	Labordia	bark	1
unplaced	Drosophila	barbata	Charpentiera, Clermontia, Freycinetia, Pisonia, Urera	bark & stems	8
unplaced	Drosophila	gladius			
unplaced	Drosophila	incongruens			
unplaced	Drosophila	komohana			
unplaced	Drosophila	lelolua	Freycinetia	leaf axils	1
unplaced	Drosophila	omnivora	Strongylodon, Touchardia, Urera	pod, bark, fern frond	4
unplaced	Drosophila	toxacantha	Cheirodendron trigynum	bark	3
unplaced	Drosophila	umiumi	Clermontia	bark	2
unplaced	Drosophila	wahihuna			
unplaced	Drosophila	waikamoi			
unplaced	Drosophila	wikstroemiae	Wikstroemia	bark	1
