genus	species	hb1	wg1	AChE	Adh	COIII	16S	ND1	COII	hb2	wg2
Drosophila	adiastola	U92996	U94553	U94267		U94225			U94209	U92997	U94554
Drosophila	adunca	U92998	U94555	U94268	U94194	U94226	U94241	U94254	U94210	U92999	U94556
Drosophila	crassifemur	U93000	U94557	U94269		U94227			U94211	U93001	U94558
Drosophila	cyrtoloma	U93002	U94559	U94270	U94196	U94228	U94242	U94255	U94212	U93003	U94560
Drosophila	disjuncta	U93004	U94561	U94271	U94197	U94229	U94243	U94256	U94213	U93005	U94562
Drosophila	iki	U93006	U94563	U94272	U94198	U94230	U94244	U94257	U94214	U93007	U94564
Drosophila	lineosetae	U93008	U94565	U94273	U94199	U94231	U94245	U94258	U94215	U93009	U94566
Drosophila	sp_c	U93010	U94567	U94274	U94200	U94232	U94246	U94259	U94216	U93011	U94568
Drosophila	mimica	U93012	U94569	U94275		U94233	U94247	U94260	U94217	U93013	U94570
Drosophila	mulleri	U93014	U94571	U94276		U94234			U94218	U93015	U94572
Drosophila	petalopeza	U93016	U94573	U94277	U94203	U94235	U94248	U94261	U94219	U93017	U94574
Scaptomyza	albovittata	U93018	U94575	U94278		U94236	U94249	U94262	U94220	U93019	U94576
Drosophila	silvestris	U93020	U94577	U94279		U94237	U94250	U94263	U94221	U93021	U94578
Drosophila	soonae	U93022	U94579	U94280	U94206	U94238	U94251	U94264	U94222	U93023	U94580
Drosophila	tanythrix	U93024	U94581	U94281	U94207	U94239	U94252	U94265	U94223	U93025	U94582
Drosophila	dasycnemia	U93026	U94583	U94282	U94208	U94240	U94253	U94266	U94224	U93027	U94584
