island	group	genus	species	16S	COI	COII	ND2	28S	Adh	cadR	Gpdh	GstD1	Marf2	l(2)not
Hawaii		Drosophila	ancyla	HQ170952	HQ170749	HQ170632	HQ170861							
Hawaii		Drosophila	dissita	HQ170964	HQ170763	HQ170649	HQ170876							
Hawaii		Drosophila	grimshawi	BK006341	BK006341	BK006341	BK006341	GU597390	XM_001993474	XM_001991642	XM_001988117	XM_001993564	XM_001992688	XM_001986304
Hawaii		Drosophila	malele	HQ170978	HQ170776	HQ170668	HQ170891							
Hawaii		Drosophila	melanocephala	HQ170980	HQ170778	HQ170670								
Hawaii		Drosophila	melanoloma	EU494391		EU493791	EU493536							
Hawaii		Drosophila	mimica	HQ170982	HQ170780	HQ170672	HQ170950		M60792					
Hawaii		Drosophila	mitchelli	HQ170983	HQ170781	HQ170673	HQ170894							
Hawaii		Drosophila	nigra	EU494394		EU493796	EU493540		M60793					
Hawaii		Drosophila	ochropleura	KC609625	KC609728	KC609683						KC609536		KC609564
Hawaii		Drosophila	percnosoma	HQ171022	HQ170819	HQ170715	HQ170929							
Hawaii		Drosophila	tanythrix			HQ170726								KC609563
Hawaii	Alloscaptomyza	Scaptomyza	buccata	KC609600	KC609690		KC609630						KC609488	
Hawaii	Alloscaptomyza	Scaptomyza	longisetosa		HQ170856	HQ170739	HQ170938			KC609567			KC609482	KC609538
Hawaii	Alloscaptomyza	Scaptomyza	nr_longisetosa		KC609691	KC609648				KC609570			KC609489	
	Boninoscaptomyza	Scaptomyza	hexasticha	LC061485	LC061496	LC061507	LC061518	LC061529	LC061644	LC061871	LC061655			LC061883
Hawaii	Bunostoma	Scaptomyza	anomala			HQ170748			AB03364648					
Hawaii	Bunostoma	Scaptomyza	boninensis	LC061480	LC061491	LC061502	LC061513	LC061524	LC061640	LC061867	LC061650		LC061889	LC061878
Hawaii	Bunostoma	Scaptomyza	hamata			KC609685								
Hawaii	Bunostoma	Scaptomyza	palmae			EU493809	EU493550		AB03364951	KC609571		KC609528	KC609490	
Hawaii	Bunostoma	Scaptomyza	nr_anomala		KC609692	KC609649				KC609572			KC609491	
Hawaii	Bunostoma	Scaptomyza	varifrons	KC609598	HQ170859	HQ170744	KC609627							
Hawaii	Elmomyza	Scaptomyza	akalae	HQ171045	HQ170854	HQ170736							KC609487	KC609541
Hawaii	Elmomyza	Scaptomyza	apiciguttula	KC609601	KC609693	KC609650	KC609631						KC609492	
Hawaii	Elmomyza	Scaptomyza	connata		KC609701	KC609656							KC609497	KC609545
Hawaii	Elmomyza	Scaptomyza	ctenophora		KC609715	KC609670				KC609581			KC609511	
Hawaii	Elmomyza	Scaptomyza	cuspidata	KC609610	KC609714	KC609669				KC609580			KC609510	
Hawaii	Elmomyza	Scaptomyza	cyrtandrae	HQ171046	KC609694	HQ170737	HQ170936					KC609529	KC609493	KC609542
Hawaii	Elmomyza	Scaptomyza	decepta		KC609712	KC609667	KC609638			KC609578			KC609508	KC609551
Hawaii	Elmomyza	Scaptomyza	dentata	KC609607	KC609703	KC609658							KC609499	
Hawaii	Elmomyza	Scaptomyza	devexa		KC609716	KC609671				KC609582			KC609512	
