barcode	group	island	locality	genus	species	bin	Dip3	fz4	Ge-1	kl-2	Osi9	pds5	PRY	Rad23	Smox	16S	COI	COII	nad1
070069a	spoon tarsus	Oahu	Manoa Cliff Trail, 1800’	Drosophila	fastigata	HQ728700.1	HQ703745.1	HQ703601.1	HQ728725.1	HQ703631.1	HQ728752.1	HQ728781.1	HQ703661.1	HQ728811.1	HQ728841.1	NA	NA	NA	NA
070236a	spoon tarsus	Kauai	Nualolo Trail, 3800’	Drosophila	atroscutellata	HQ728701.1	HQ703746.1	HQ703602.1	HQ728726.1	HQ703632.1	HQ728753.1	HQ728782.1	HQ703662.1	HQ728812.1	HQ728842.1	NA	NA	NA	NA
200120a	spoon tarsus	Maui	Waikamoi Forest Preserve, Pig Hunter’s Trail	Drosophila	contorta	HQ728702.1	HQ703747.1	HQ703603.1	NA	HQ703633.1	HQ728754.1	HQ728783.1	HQ703663.1	HQ728813.1	HQ728843.1	NA	NA	NA	NA
200122a	spoon tarsus	Hawaii	HVNP, Olaa Tract	Drosophila	dasycnemia	HQ728703.1	HQ703748.1	HQ703604.1	HQ728727.1	HQ703634.1	HQ728755.1	HQ728784.1	HQ703664.1	HQ728814.1	HQ728844.1	HQ703691.1	HQ703709.1	HQ703727.1	HQ703775.1
200125a	spoon tarsus	Hawaii	HVNP, Olaa Tract	Drosophila	percnosoma	NA	HQ703749.1	HQ703605.1	HQ728728.1	HQ703635.1	HQ728756.1	HQ728785.1	HQ703665.1	HQ728815.1	HQ728845.1	NA	NA	NA	NA
200785a	antopocerus	Maui		Drosophila	diamphidiopoda	HQ728722.1	HQ703772.1	HQ703628.1	HQ728749.1	HQ703658.1	HQ728778.1	HQ728808.1	HQ703688.1	HQ728838.1	HQ728868.1	NA	NA	NA	NA
201012a	expansa	Maui		Drosophila	expansa	HQ728721.1	HQ703771.1	HQ703627.1	HQ728748.1	HQ703657.1	NA	HQ728807.1	HQ703687.1	HQ728837.1	HQ728867.1	NA	NA	NA	NA
201312a	spoon tarsus	Hawaii	HVNP, Olaa Tract	Drosophila	conformis	HQ728704.1	HQ703750.1	HQ703606.1	HQ728729.1	HQ703636.1	HQ728757.1	HQ728786.1	HQ703666.1	HQ728816.1	HQ728846.1	NA	NA	NA	NA
202311a	spoon tarsus	Hawaii	Stainback Highway, Tom’s Trail, 3200’	Drosophila	neutralis	HQ728705.1	HQ703751.1	HQ703607.1	HQ728730.1	HQ703637.1	HQ728758.1	HQ728787.1	HQ703667.1	HQ728817.1	HQ728847.1	HQ703692.1	HQ703710.1	HQ703728.1	HQ703776.1
202318a	spoon tarsus	Hawaii	Kau Forest Reserve, Hionamoa Stream	Drosophila	sordidapex	HQ728706.1	HQ703752.1	HQ703608.1	HQ728731.1	HQ703638.1	HQ728759.1	HQ728788.1	HQ703668.1	HQ728818.1	HQ728848.1	HQ703693.1	HQ703711.1	HQ703729.1	HQ703777.1
202319b	spoon tarsus	Hawaii	Kau Forest Reserve, Hionamoa Stream	Drosophila	neutralis	HQ728707.1	HQ703753.1	HQ703609.1	NA	HQ703639.1	HQ728760.1	HQ728789.1	HQ703669.1	HQ728819.1	HQ728849.1	NA	NA	NA	NA
202320a	spoon tarsus	Hawaii	Saddle Road, Kipuka 9, Upper Waiakea FR	Drosophila	dasycnemia	HQ728708.1	HQ703754.1	HQ703610.1	HQ728732.1	HQ703640.1	HQ728761.1	HQ728790.1	HQ703670.1	HQ728820.1	HQ728850.1	HQ703694.1	HQ703712.1	HQ703730.1	HQ703778.1
202321a	spoon tarsus	Hawaii	Ola’a Forest, Small tract, Transect 1	Drosophila	sordidapex	HQ728709.1	HQ703755.1	HQ703611.1	HQ728733.1	HQ703641.1	HQ728762.1	HQ728791.1	HQ703671.1	HQ728821.1	HQ728851.1	NA	NA	NA	NA
202326b	spoon tarsus	Hawaii	Puu O’umi NAR, Kohalas 5000ft	Drosophila	dasycnemia	HQ728710.1	HQ703756.1	HQ703612.1	HQ728734.1	HQ703642.1	HQ728763.1	HQ728792.1	HQ703672.1	HQ728822.1	HQ728852.1	NA	NA	NA	NA
202327a	spoon tarsus	Hawaii	Kukui Opae, South Kona Forest Reserve, 3400ft	Drosophila	sordidapex	HQ728711.1	HQ703757.1	HQ703613.1	HQ728735.1	HQ703643.1	HQ728764.1	HQ728793.1	HQ703673.1	HQ728823.1	HQ728853.1	HQ703695.1	HQ703713.1	HQ703731.1	HQ703779.1
202329b	spoon tarsus	Hawaii	Kukui Opae, South Kona Forest Reserve, 3400ft	Drosophila	neutralis	NA	HQ703758.1	HQ703614.1	HQ728736.1	HQ703644.1	HQ728765.1	HQ728794.1	HQ703674.1	HQ728824.1	HQ728854.1	HQ703696.1	HQ703714.1	HQ703732.1	HQ703780.1
202330a	spoon tarsus	Hawaii	Laupahoehoe, NARS, 3700ft	Drosophila	neutralis	HQ728712.1	HQ703759.1	HQ703615.1	HQ728737.1	HQ703645.1	HQ728766.1	HQ728795.1	HQ703675.1	HQ728825.1	HQ728855.1	HQ703697.1	HQ703715.1	HQ703733.1	HQ703781.1
202331a	spoon tarsus	Hawaii	Laupahoehoe, NARS, 3700ft	Drosophila	dasycnemia	HQ728713.1	HQ703760.1	HQ703616.1	HQ728738.1	HQ703646.1	HQ728767.1	HQ728796.1	HQ703676.1	HQ728826.1	HQ728856.1	HQ703698.1	HQ703716.1	HQ703734.1	HQ703782.1
202332c	spoon tarsus	Hawaii	Laupahoehoe, NARS, 3700ft	Drosophila	sordidapex	HQ728715.1	HQ703765.1	HQ703621.1	HQ728743.1	HQ703651.1	HQ728772.1	HQ728801.1	HQ703681.1	HQ728831.1	HQ728861.1	HQ703702.1	HQ703720.1	HQ703738.1	HQ703786.1
