subgenus	group	genus	species	extraction	island	locality	sex	tissue	Ef1g	fz4	Gpdh	Pgi	Yp2
	adiastola	Drosophila	adiastola	M09083	Maui	FBS transect 3, 3 Jun 2009	Female	Body soak	JN815430	JN815610	JN815767	JN815931	JN816123
	adiastola	Drosophila	cilifera	M09217	Molokai	Mokomoko Gulch, 15 Dec 2010	Male	Genitalia	JN815535	JN815690	JN815853	JN816017	JN816219
	adiastola	Drosophila	clavisetae	M09181	Maui	Waikamoi, Haiku Uka, 20 Aug 2009	Male	Genitalia	JN815508	JN815667	JN815830	JN815994	JN816197
	adiastola	Drosophila	hamifera	M09182	Maui	Waikamoi, Haiku Uka, 21 Dec 2010	Male	Genitalia	JN815509	JN815668	JN815831	JN815995	JN816198
	adiastola	Drosophila	ochrobasis	M09218	Hawaii	Kilohana exclosure, 25 Nov 2009	Male	Genitalia	JN815536	JN815691	JN815854	JN816018	JN816220
	adiastola	Drosophila	paenihamifera	M09084	Maui	Puu Kukui trail, 5 Jun 2009	Female	Abdomen	JN815431	JN815611	JN815768	JN815932	JN816124
	adiastola	Drosophila	setosimentum	M09219	Hawaii	Hionamoa Gulch, 6 Aug 2009	Male	Genitalia	JN815537	JN815692	JN815855	JN816019	JN816221
	adiastola	Drosophila	truncipenna	M09183	Maui	Waikamoi, Haiku Uka, 21 Dec 2010	Male	Genitalia	JN815510	JN815669	JN815832	JN815996	JN816199
	aglaia	Drosophila	conspicua	M09085	Hawaii	Kukuiopae, 29 Dec 2009	Male	Body soak	JN815432	JN815612	JN815769	JN815933	JN816125
	aglaia	Drosophila	kikiko	M09095	Kauai	Nualolo Trail, 23 Jan 2010	Female	Abdomen	JN815442	JN815621	JN815779	JN815943	JN816135
	aglaia	Drosophila	nr_alsophila	M09249	Maui	Waikapu Valley, 12 Oct 2011	Female	Abdomen	JQ845048	JQ845052	JQ845056	JQ845060	JQ845064
	anomalipes	Drosophila	anomalipes	M09081	Kauai	Kokee nursery, 24 Jan 2010	Male	Body soak	JN815428	JN815608	JN815765	JN815929	JN816121
	anomalipes	Drosophila	quasianomalipes	M09082	Kauai	Alakai Swamp Trail, 24 Jun 2009	Male	Body soak	JN815429	JN815609	JN815766	JN815930	JN816122
	antopocerus	Drosophila	adunca	M09067	Maui	Waikamoi, Haiku Uka, 20 Aug 2009	Male	Body soak	JN815414	JN815595	JN815752	JN815916	JN816107
	antopocerus	Drosophila	diamphidopoda	M09068	Maui	Waikamoi, Haiku Uka, 19 Aug 2009	Male	Body soak	JN815415	JN815596	JN815753	JN815917	JN816108
	ateledrosophila	Drosophila	papala	M09221	Hawaii	Kukuiopae, 11 Sep 2010	Male	Genitalia	JN815539	JN815694	JN815857	JN816021	JN816223
	bristle tarsus	Drosophila	nr_expansa_1	M09065	Kauai	Kokee nursery, 24 Jan 2010	Male	Body soak	JN815412	JN815593	JN815750	JN815914	JN816105
