genus	species	sina	Marf	COII	ntid	ITS1	rpt	snf	GLS
Drosophila	haleakalae	AY348256.1	AY348217.1	AY343537.1	AY348288.1	AY348196.1	NA	NA	NA
Drosophila	multiciliata	AY348258.1	AY348219.1	AY343539.1	AY348290.1	AY348198.1	NA	NA	NA
Drosophila	polita	AY348257.1	AY348218.1	AY343538.1	AY348289.1	AY348197.1	NA	NA	NA
Drosophila	melanosoma	AY348255.1	AY348216.1	AY343536.1	AY348287.1	AY348195.1	NA	NA	NA
Drosophila	iki	AY348254.1	AY348215.1	NA	AY348286.1	AY348194.1	NA	AY348269.1	AY348233.1
Drosophila	fungiperda	AY348253.1	AY348214.1	AY343535.1	AY348285.1	AY348193.1	NA	NA	AY348232.1
Drosophila	dolichotarsis	AY348252.1	AY348213.1	AY343534.1	AY348284.1	AY348192.1	NA	AY348268.1	AY348231.1
Drosophila	insignita	AY348251.1	AY348212.1	NA	AY348283.1	AY348191.1	AY348237.1	AY348267.1	AY348230.1
Drosophila	scitula	AY348250.1	AY348211.1	AY343533.1	AY348282.1	AY348190.1	NA	NA	AY348229.1
Drosophila	bipolita	AY348249.1	AY348210.1	AY343532.1	AY348281.1	AY348189.1	AY348236.1	AY348266.1	AY348228.1
Drosophila	paraanthrax	AY348248.1	AY348209.1	NA	AY348280.1	AY348188.1	NA	AY348265.1	AY348227.1
Drosophila	canipolita	AY348247.1	AY348208.1	AY343531.1	AY348279.1	AY348187.1	AY348235.1	AY348264.1	NA
Drosophila	ochropleura	AY348246.1	AY348207.1	AY343530.1	AY348278.1	AY348186.1	NA	AY348263.1	AY348226.1
Drosophila	fulgida	AY348245.1	AY348206.1	AY343529.1	AY348277.1	AY348185.1	NA	NA	AY348225.1
Drosophila	nigella	AY348244.1	AY348205.1	NA	AY348276.1	AY348184.1	NA	AY348262.1	AY348224.1
Drosophila	nigra	AY348243.1	AY348204.1	NA	AY348275.1	AY348183.1	NA	AY348261.1	AY348223.1
Drosophila	longiperda	AY348242.1	AY348203.1	AY343528.1	AY348274.1	AY348182.1	NA	NA	AY348222.1
Drosophila	melanoloma	AY348241.1	AY348202.1	AY343527.1	AY348273.1	AY348181.1	NA	AY348260.1	AY348221.1
Drosophila	quasiexpansa	AY348240.1	AY348201.1	NA	AY348272.1	AY348180.1	NA	NA	NA
Drosophila	mimica	AY348239.1	AY348200.1	NA	AY348271.1	AY348179.1	NA	NA	NA
Drosophila	crucigera	AY348238.1	AY348199.1	AY343526.1	AY348270.1	AY348178.1	AY348234.1	AY348259.1	NA
Drosophila	waddingtoni	NA	NA	NA	NA	NA	NA	NA	AY348220.1
