genus	species	describer	BL	WL
Idiomyia	perkinsi	n sp	7	8
Idiomyia	obscuripes	n sp	6	6.5
Idiomyia	oahuensis	n sp	6	7
Idiomyia	picta	n sp	5	6
Hypenomyia	varipennis	n sp	6-7	7
Drosophila	picticornis	n sp	3.5	4
Drosophila	variegata	n sp	4-5	4-6
Drosophila	undulata	n sp	4	4.5
Drosophila	perkinsi	n sp	2.5-3	3-3.5
Drosophila	conspicua	n sp	5	6
Drosophila	lanaiensis	n sp	3.5-5	4-5.5
Drosophila	hawaiiensis	n sp	3-4	3.5-5
Drosophila	ochracea	n sp	3.5-4	4-4.5
Drosophila	pilimana	n sp	3.5-5	4-5
Drosophila	paucipuncta	n sp	3.5-5	4-4.5
Drosophila	anomalipes	n sp	4.5	5.5
Drosophila	nigra	n sp	6	6
Drosophila	flaviceps	n sp	2.25	2.5
Drosophila	infuscata	n sp	2.5	2.75
Drosophila	sordidapex	n sp	3	3
Drosophila	haleakalae	n sp	3	3.5
Drosophila	setiger	n sp	2.5	2.5
Drosophila	humeralis	n sp	3	3.5
Drosophila	parva	n sp	1.5	1.5
Drosophila	sharpi	n sp	4-5	4.5-6
Drosophila	olaae	n sp	4.5	4.5
Drosophila	crassifemur	n sp	3.5	4
Drosophila	nasalis	n sp	4.5	4
Drosophila	mauiensis	n sp	2	2
Drosophila	melanosoma	n sp	3.5	3.5
Drosophila	longiseta	n sp	6	6.5
Drosophila	xanthosoma	n sp	3	3.5
Drosophila	cognata	n sp	4	4.5
Drosophila	inaequalis	n sp	2	2.5
Drosophila	monticola	n sp	2.5-3	3-3.5
Drosophila	pusilla	n sp	1-1.5	1.25-1.75
Drosophila	carinata	n sp	2.5	2.75
Drosophila	obscuricornis	n sp	1.5	1.75-2
Drosophila	varifrons	n sp	1.75	2.25
Drosophila	polita	n sp	3.25	3.5
Drosophila	obscurifrons	n sp	2-2.5	2.5
Drosophila	exigua	n sp	2	2
Drosophila	plumosa	n sp	2-2.5	2.5-3
