subgenus	genus	sex	describer	species	BL	CI	SCI	WL	WW
Bunostoma	Scaptomyza	female	n sp	cordigera	2	3.2-3.4	NA	2.2	NA
Bunostoma	Scaptomyza	male	n sp	bryanti	2.1	2.9	NA	2.5	NA
Hemiscaptomyza	Scaptomyza	NA	n sp	atahulapa	2.2-2.4	3.4-4	1.7	2.5-3.0	NA
Hemiscaptomyza	Scaptomyza	NA	n sp	hennigi	2.1-2.4	4.0-4.2	1.2-1.6	2.5-2.7	NA
Hemiscaptomyza	Scaptomyza	NA	n sp	okadai	2.5-3.0	3.3-3.7	NA	2.9-3.4	NA
Hemiscaptomyza	Scaptomyza	NA	n sp	parapicata	2	2.9-3.3	NA	2.5-2.7	NA
Hemiscaptomyza	Scaptomyza	NA	Zett	unipunctum	2.3-2.5	2.9-3.7	NA	2.2-2.5	NA
Mesoscaptomyza	Scaptomyza	female	n sp	wheeleri	2.3	2.9-4.0	NA	1.1-2.8	NA
Mesoscaptomyza	Scaptomyza	male	n sp	wheeleri	2-2.5	2.7-3.9	NA	1.8-2.3	NA
Mesoscaptomyza	Scaptomyza	NA	n sp	subvittata	2	2.5	NA	1.95	NA
Mesoscaptomyza	Scaptomyza	NA	n sp	wheeleri	NA	NA	2	NA	NA
Parascaptomyza	Scaptomyza	male	n sp	freyi	NA	NA	NA	1.7	0.25
Parascaptomyza	Scaptomyza	male	n sp	picifemorata	2.2	3.7	NA	2.5	NA
Parascaptomyza	Scaptomyza	NA	n sp	longisetosa	2.3	2.6	NA	2.4-2.5	NA
Scaptomyza	Scaptomyza	male	Malloch 1924b	nigripalpis	2	3.1	NA	2.1	NA
Scaptomyza	Scaptomyza	NA	n sp	grahami	2.5	3.2-4.0	NA	2.8-3.5	NA
Scaptomzya	Scaptomyza	NA	n sp	flaviventris	2.3-2.5	3.4-3.7	NA	2.8-3.6	NA
Trogloscaptomyza	Scaptomyza	female	n sp	hawaiiensis	NA	NA	NA	2.5	NA
Trogloscaptomyza	Scaptomyza	female	n sp	pallifrons	NA	NA	NA	2.2-2.5	NA
Trogloscaptomyza	Scaptomyza	male	n sp	hawaiiensis	NA	NA	NA	2.2	NA
Trogloscaptomyza	Scaptomyza	male	n sp	pallifrons	NA	NA	NA	2.0-2.5	NA
Trogloscaptomyza	Scaptomyza	NA	n sp	abrupta	2	2.9	NA	2.7	NA
Trogloscaptomyza	Scaptomyza	NA	n sp	aloha	2.3	3.4-4.0	NA	2.3-2.7	NA
Trogloscaptomyza	Scaptomyza	NA	n sp	hardyi	2	3.0-3.7	NA	2.0-2.2	NA
Trogloscaptomyza	Scaptomyza	NA	n sp	hawaiiensis	2	2.8-3.7	NA	NA	NA
Trogloscaptomyza	Scaptomyza	NA	n sp	kauaiensis	2	3.7	NA	2.2	NA
Trogloscaptomyza	Scaptomyza	NA	n sp	longipecten	1.7-2	2.0-3	NA	1.8-2.2	NA
Trogloscaptomyza	Scaptomyza	NA	n sp	mediopallens	2	2.1-3.1	NA	2.2-2.4	NA
Trogloscaptomyza	Scaptomyza	NA	n sp	mitchelli	2	3.5-3.1	NA	2.1-2.2	NA
Trogloscaptomyza	Scaptomyza	NA	n sp	pallifrons	1.1-1.9	2.8-3.6	NA	NA	NA
Trogloscaptomyza	Scaptomyza	NA	n sp	striatifrons	2	2.9-3.4	NA	2.1-2.6	NA
