genus	species	sex	type	BL	WL	BWL	WW
Drosophila	acanthostoma	female				4.5-4.75	
Drosophila	acanthostoma	male		4	4.3		
Drosophila	adiastola	male					
Drosophila	aethostoma	male		3.2	3.75		
Drosophila	alsophila	male		4	4.7		
Drosophila	ambochila	male				3.3-3.5	
Drosophila	anoplostoma	female		3.8	4.2		
Drosophila	anoplostoma	male		3.6	3.9		
Drosophila	atrimentum	male		3.7-4.0	4.25		
Drosophila	basisetae	male		4.6	5.6		
Drosophila	cilifera	male				4.6	
Drosophila	digressa	male		5	5.75		
Drosophila	digressa	male	paratype	4	4.15		
Drosophila	discreta	male		4.7	5		
Drosophila	divaricata	male		4.7	4.8-5.0		
Drosophila	flexipes	male		4	4.5		
Drosophila	glabriapex	female		4.5	5		
Drosophila	glabriapex	male		4	4.5		
Drosophila	gradata	female		4	4.75		
Drosophila	gradata	male		4.5			
Drosophila	gymnobasis	male		3.5-3.7	4		
Drosophila	hamifera	female					
Drosophila	hamifera	male		6.2	6.5		
Drosophila	hamifera	male	paratype	6.2-6.7			
Drosophila	heedi	male				3.5	
Drosophila	hirtipalpus	male		5	5.5		
Drosophila	inciliata	female					
Drosophila	inciliata	female		5.2	5.8		
Drosophila	inciliata	female	paratype	4.0-5.2	4.5-5.8		
Drosophila	inciliata	male		4	4.3		
Drosophila	inciliata	male	paratype	4.0-4.4	4.5-5.0		
Drosophila	ingens	male		6.7-7.0	7.0-7.25		
Drosophila	limitata	male		4.5	5		
Drosophila	lineosetae	male				4.5	
Drosophila	liophallus	male		5	5.5		
Drosophila	liophallus	male	paratype	4.0-5.0	4.5-5.5		
Drosophila	macrothrix	male				4.5	
Drosophila	ochrobasis	male				4.6	
Drosophila	odontophallus	male		5	5.75		
Drosophila	odontophallus	male	paratype	4.7-5.0	5.0-5.75		
Drosophila	orphnopeza	female		4.5-4.7	5.2-5.4		
Drosophila	orphnopeza	male		4.5	5.2		
Drosophila	orthofascia	male		4.5	5.3		
Drosophila	paucicilia	male		3.2	3.6		
Drosophila	pilatisetae	male				4.4	
Drosophila	pisonia	male				3.75	
Drosophila	primaeva	female				5.7-6.1	
Drosophila	primaeva	male		4.6-5.0	4.9-5.6		
Drosophila	prostopalpis	male		4.8	5.5		
Drosophila	psilophallus	female					
Drosophila	psilophallus	male		3.5-4.0	3.3-4.2		
Drosophila	recticilia	male		5	5.5		
Drosophila	reynoldsiae	male		5.0-5.5	7		2
Drosophila	sejuncta	male				5	
Drosophila	setosifrons	male		5.5	6.2		
Drosophila	setosimentum	male		5	4.7		
Drosophila	silvarentis	male		5	5.5		
Drosophila	sobrina	male				3.5-3.7	
Drosophila	sodomae	male		4.4-5.3			
Drosophila	spaniothrix	male				4.25	
Drosophila	sproati	male		6	6.4		
Drosophila	uniseriata	female		4.25	4.7		
Drosophila	uniseriata	male		4	4.5		
Drosophila	vesciseta	male		3.75	4		
Drosophila	virgulata	female		5	5.7		
Drosophila	virgulata	male		4.5	5.5		
