subgenus	genus	species	genus author	species author	body_length	wing_length	body_and_wing_length	sex	type	length notes
	Antopocerus	villosus	n gen	n sp	5.6	6.5		male		
	Antopocerus	aduncus	n gen	n sp	5.9	6.2		male		
	Antopocerus	arcuatus	n gen	n sp	5.2	5.4		male		
	Antopocerus	cognatus	n gen	Grimshaw	4.65-5.0	5.0-5.5		male		
	Antopocerus	diamphidiopodus	n gen	n sp	4.66	4.5		male		
	Antopocerus	entrichocnemus	n gen	n sp	5.3	5		male		
	Antopocerus	longiseta	n gen	Grimshaw	6.4	6.75		male		
	Antopocerus	orthopterus	n gen	n sp	4.6	4.8		male		
	Antopocerus	tanythrix	n gen	n sp	5.2	5.5		male		
	Antopocerus	villosus	n gen	n sp	5.5-6.3	6.3-7.0		female		
	Antopocerus	aduncus	n gen	n sp				female		
	Antopocerus	arcuatus	n gen	n sp				female		
	Antopocerus	cognatus	n gen	Grimshaw				female		
	Antopocerus	diamphidiopodus	n gen	n sp				female		
	Antopocerus	entrichocnemus	n gen	n sp				female		
	Antopocerus	longiseta	n gen	Grimshaw				female		
	Antopocerus	orthopterus	n gen	n sp				female		
	Antopocerus	tanythrix	n gen	n sp				female		
	Ateledrosophila	diamphidia	n gen	n sp	2.2	2.4		male		
	Ateledrosophila	preapicula	n gen	n sp	2.4	2.5		male		
	Ateledrosophila	diamphidia	n gen	n sp				female		
	Ateledrosophila	preapicula	n gen	n sp				female		
	Celidosoma	nigrocincta	n gen	n sp			3.3	male		
	Celidosoma	nigrocincta	n gen	n sp			3.3	female		
	Drosophila	canipolita	sensu lato	n sp	2.00-2.25	2.2-2.5		male		
	Drosophila	abjuncta	sensu lato	n sp	2.5	2.85		male		
	Drosophila	humeralis	sensu lato	Grimshaw			2.5	male		
	Drosophila	apodasta	sensu lato	n sp	2.2	2.7		male		
	Drosophila	proceriseta	sensu lato	n sp	2.50-2.70	2.75-3.00		male		
	Drosophila	freycinetiae	sensu lato	n sp	2.1	2.4		male		
	Drosophila	ancyla	sensu lato	n sp	2.3	2.5		male		
	Drosophila	nigropolita	sensu lato	n sp	2.2-2.5	2.5-2.8		male		
	Drosophila	pectinitarsus	sensu lato	n sp	2.3	2.7		male		
	Drosophila	torula	sensu lato	n sp	2.3	3		male		
	Drosophila	totonigra	sensu lato	n sp	3	3.2		male		
	Drosophila	velata	sensu lato	n sp	2.15	2.3		male		
	Drosophila	hirtitibia	sensu lato	n sp			2.3-2.7	male		
	Drosophila	bicondyla	sensu lato	n sp	2.6-3.0	3.2-3.5		male		
	Drosophila	pychnochaetae	sensu lato	n sp	2.75	3.1		male		
	Drosophila	brunneisetae	sensu lato	n sp	2.5	2.85		male		
	Drosophila	dracaenae	sensu lato	n sp	2.5	2.85		male		
	Drosophila	fusticula	sensu lato	n sp	2.5	2.7		male		
	Drosophila	araiotrichia	sensu lato	n sp	2.5-2.8	2.7-3.0		male		
	Drosophila	demipolita	sensu lato	n sp	2.5	2.85		male		
	Drosophila	improcera	sensu lato	n sp	2.5	2.8		male		
	Drosophila	propiofacies	sensu lato	n sp	2.5	2.85		male		
	Drosophila	trichaetosa	sensu lato	n sp	2.7	3.2		male		
	Drosophila	bipolita	sensu lato	n sp	2.50-2.65	2.8		male		
	Drosophila	pretiosa	sensu lato	n sp				male		
	Drosophila	aquila	sensu lato	n sp	2.7	3		male		
	Drosophila	brevicilia	sensu lato	n sp	2.7	3		male		
	Drosophila	fuscifrons	sensu lato	n sp	2.3	2.7		male		
	Drosophila	melanoloma	sensu lato	n sp	2.3-2.6	2.5-3.1		male		
