subgenus	genus	species	genus_describer	describer	BL	WL	BWL	sex	type	notes
Alloscaptomyza	Scaptomyza	aberrans	Hackman	n sp	2.2	2.5		male		
Alloscaptomyza	Scaptomyza	aberrans	Hackman	n sp				female		
	Drosophila	abjuncta	sensu lato	n sp	2.5	2.85		male		
	Drosophila	abjuncta	sensu lato	n sp	2.2	2.4		female		
Rosenwaldia	Scaptomyza	abrupta	Malloch	Hackman				male		
Rosenwaldia	Scaptomyza	abrupta	Malloch	Hackman				female		
Trogloscaptomyza	Scaptomyza	acronastes	Frey	n sp	1.5	1.8		male		
Trogloscaptomyza	Scaptomyza	acronastes	Frey	n sp				female		
	Drosophila	acrostichalis	sensu lato	n sp				male		
	Drosophila	acrostichalis	sensu lato	n sp	4	4.8		female		
	Drosophila	adiastola	sensu lato	n sp	5.4	5.55		male		
	Drosophila	adiastola	sensu lato	n sp	5.55	6.1		female		
Trogloscaptomyza	Scaptomyza	adunca	Frey	n sp	2.2	2.5		male		
Trogloscaptomyza	Scaptomyza	adunca	Frey	n sp	2.5	2.8		female		
	Antopocerus	aduncus	n gen	n sp	5.9	6.2		male		
	Antopocerus	aduncus	n gen	n sp				female		
	Drosophila	adventitia	sensu lato	n sp	4.4	4.75		male		
	Drosophila	adventitia	sensu lato	n sp				female		
	Drosophila	agitona	sensu lato	n sp				male		
	Drosophila	agitona	sensu lato	n sp	3.25	3.6		female		
	Drosophila	aglaia	sensu lato	n sp				male		
	Drosophila	aglaia	sensu lato	n sp	4	5		female		
	Drosophila	albifacies	sensu lato	n sp	2.3	2.7		male		
	Drosophila	albifacies	sensu lato	n sp				female		
Tantalia	Scaptomyza	albovittata	Malloch	Malloch	1.5-1.6	1.6-2.0		male		
Tantalia	Scaptomyza	albovittata	Malloch	Malloch				female		
Rosenwaldia	Scaptomyza	aloha	Malloch	Hackman	2.3	2.9		male		
Rosenwaldia	Scaptomyza	aloha	Malloch	Hackman				female		
	Nudidrosophila	amita	n gen	n sp	2.3	2.5		male		
	Nudidrosophila	amita	n gen	n sp				female		
Trogloscaptomyza	Scaptomyza	affinicuspidata	Frey	n sp	2.7	3.3		male		
Trogloscaptomyza	Scaptomyza	affinicuspidata	Frey	n sp	2.7	2.9		female		
	Drosophila	amydrospilota	sensu lato	n sp	3.75	3.9		male		
	Drosophila	amydrospilota	sensu lato	n sp				female		
	Drosophila	ancyla	sensu lato	n sp	2.3	2.5		male		
	Drosophila	ancyla	sensu lato	n sp	2.5	2.8		female		
Trogloscaptomyza	Scaptomyza	anechocerca	Frey	n sp	1.6	1.9		male		
Trogloscaptomyza	Scaptomyza	anechocerca	Frey	n sp				female		
Bunostoma	Scaptomyza	anomala	Malloch	n sp	1.8-2.0	2.0-2.2		male		
Bunostoma	Scaptomyza	anomala	Malloch	n sp			2.3-2.5	female		
	Drosophila	anomalipes	sensu lato	Grimshaw	5.25	6		male		Grimshaw gave the length of the body as 4.5 mm. and the wings as 5.5 mm.
	Drosophila	anomalipes	sensu lato	Grimshaw				female		
	Drosophila	anthrax	sensu lato	n sp			2.9-3.4	male		
	Drosophila	anthrax	sensu lato	n sp				female		
Trogloscaptomyza	Scaptomyza	apiciguttula	Frey	n sp	1.8	2.4		male		
Trogloscaptomyza	Scaptomyza	apiciguttula	Frey	n sp	2.2-2.4	2.5-2.9		female		
	Drosophila	apicipuncta	sensu lato	n sp	3.5	3.75		male		
	Drosophila	apicipuncta	sensu lato	n sp	4.7-5.2	5.0-5.3		female		
	Drosophila	apicisetae	sensu lato	n sp	2.5	2.8		male		
	Drosophila	apicisetae	sensu lato	n sp				female		
	Drosophila	apodasta	sensu lato	n sp	2.2	2.7		male		
	Drosophila	apodasta	sensu lato	n sp	2.3	2.9		female		
	Drosophila	apoxyloma	sensu lato	n sp			3.2	male		
	Drosophila	apoxyloma	sensu lato	n sp				female		
Trogloscaptomyza	Scaptomyza	apponopusilla	Frey	n sp				male		
Trogloscaptomyza	Scaptomyza	apponopusilla	Frey	n sp				female		
	Drosophila	aquila	sensu lato	n sp	2.7	3		male		
	Drosophila	aquila	sensu lato	n sp	3	3.4		female		
	Drosophila	araiotrichia	sensu lato	n sp	2.5-2.8	2.7-3.0		male		
	Drosophila	araiotrichia	sensu lato	n sp	2.7-3.0	3.0-3.4		female		
	Antopocerus	arcuatus	n gen	n sp	5.2	5.4		male		
	Antopocerus	arcuatus	n gen	n sp				female		
Trogloscaptomyza	Scaptomyza	argentifrons	Frey	n sp	2.0-2.3	2.5		male		
Trogloscaptomyza	Scaptomyza	argentifrons	Frey	n sp	2.30-2.60	2.50-2.75		female		
Trogloscaptomyza	Scaptomyza	articulata	Frey	n sp	1.8-2.0	2.2		male		
Trogloscaptomyza	Scaptomyza	articulata	Frey	n sp	2	2.5		female		
	Drosophila	artigena	sensu lato	n sp	3	3.75		male		
	Drosophila	artigena	sensu lato	n sp				female		
	Drosophila	asketostoma	sensu lato	n sp	3	3.9		male		
	Drosophila	asketostoma	sensu lato	n sp	3.3-4.0	4.0-5.0		female		
