genus	species	describer	sex	type	4C	4V	5X	CI	HW	HW/TL	M	N	TL	TL/WL	WL	pupal_length
Drosophila	anthrax	Hardy 1965: 148	male	MOLOKA`I: Holotype male, Manawainui Valley, vii.1952, DEH, BPBM 6293	0.5	1.2	1.3	4.1	1.1	0.7	0.4	NA	1.5	0.6	2.6	
Drosophila	anthrax	Hardy 1965: 148	male		0.5 (0.4-0.5)	1.3 (1.2-1.3)	1.5 (1.3-1.7)	4.4 (4.1-4.6)	1.1  (1.0-1.1)	0.7	0.4	2	1.4  (1.4-1.5)	0.6 (0.5-0.6)	2.6	
Drosophila	atrifacies	n sp	female	Allotype female, MAUI: Trail to Pu`u Kukui, West Maui, 3500 ft.,17.ix.1975, KYK, BPBM 16360a	0.5	1.4	1.5	4.5	1.3	0.7	0.4	NA	1.8	0.5	3.8	
Drosophila	atrifacies	n sp	female		NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	
Drosophila	atrifacies	n sp	male	MAUI: Holotype male, Waikamoi, 10.v.1974, KYK, BPBM 16360	0.4	1.3	1.6	4.8	1.2	0.7	0.4	NA	1.7	0.5	3.5	
Drosophila	atrifacies	n sp	male		0.4 (0.3-0.5)	1.2 (1.1-1.3)	1.4 (1.2-1.6)	4.7 (4.3-5.6)	1.2  (1.1-1.3)	0.7 (0.7-0.8)	0.4 (0.3-0.4)	6	1.7  (1.4-1.8)	0.5	3.2  (2.8-3.5)	
Drosophila	bipolita	Hardy 1965: 177	female		0.5(0.5-0.6)	1.5 (1.4-1.5)	2.1 (1.5-2.7)	4.7 (3.7-5.2)	1.0  (0.8-1.1)	0.8 (0.7-0.8)	0.5 (0.4-0.6)	6	1.2  (1.0-1.3)	0.5 (0.4-0.5)	2.6  (2.2-3.3)	
Drosophila	bipolita	Hardy 1965: 177	male		0.5	1.5 (1.4-1.6)	1.9 (1.6-2.1)	4.8 (4.7-5.0)	0.8  (0.7-0.9)	0.8 (0.8-0.9)	0.4 (0.4-0.5)	3	1.0  (0.8-1.1)	0.5	2.0  (1.7-2.2)	
Drosophila	brunneicrus	n sp	male	HAWAI`I: Holotype male, Kilauea Forest Reserve, 26.vii.1975, HTS, BPBM 16361	0.5	1.3	1.8	5	1	0.7	0.4	NA	1.6	0.5	3.3	
Drosophila	brunneicrus	n sp	male		0.5 (0.4-0.6)	1.4 (1.3-1.6)	1.6 (1.4-1.8)	4.6 (3.9-5.2)	1.0  (0.9-1.2)	0.7	0.4 (0.3-0.4)	9	1.4  (1.3-1.7)	0.5 (0.4-0.5)	3.2  (3.0-3.6)	
Drosophila	canipolita	Hardy 1965: 198	female		0.5 (0.4-0.6)	1.5 (1.2-1.7)	1.8(1.6-2.3)	4.4 (4.0-4.9)	0.9 (0.8-1.0)	0.8 (0.8-0.9)	NA	10	1.1  (1.0-1.2)	0.5 (0.4-0.5)	2.4  (2.2-2.5)	
Drosophila	canipolita	Hardy 1965: 198	male		0.6 (0.5-0.7)	1.6 (1.5-1.9)	1.9 (1.6-2.1)	4.1 (3.6-4.6)	0.8  (0.7-0.9)	0.9 (0.8-1.0)	0.5 (0.4-0.6)	10	0.9  (0.8-1.0)	0.5 (0.4-0.5)	2.0  (1.9-2.2)	
Drosophila	chicae	n sp	female	Allotype female, Kilauea Forest,Volcano Hawai`i, 3.vi.1974, HTS, BPBM 16358a	0.5	1.6	2.2	5.7	0.7	0.8	0.4	NA	0.9	0.4	2.3	
Drosophila	chicae	n sp	female		0.5 (0.5-0.6)	1.7 (1.5-1.9)	2.3 (2.0-2.6)	5.3 (4.6-5.6)	0.9  (0.7-1.0)	0.8	0.5 (0.4-0.6)	6	1.1 (0.9-1.3)	0.4	2.7  (2.3-2.9)	
Drosophila	chicae	n sp	male	HAWAI`I: Holotype male, Kokoolau Overlook, Kilauea National Park, vi.1974, FCV,BPBM 16358	0.4	1.7	2.9	6.7	0.8	0.8	0.6	NA	0.9	0.3	2.6	
