subgenus	genus	species	N	EL	EW	anterior_filament_length	posterior_filament_length	posterior_filament_percent_of_egg_length	thorax_percent_of_egg_length	oviposition_behavior_type	TL	ON	mature_eggs_per_ovarioles	notes
	Drosophila	adiastola	25	0.82 ± 0.023	0.23 ± 0.006	0.87 ± 0.021	0.97 ± 0.035	1.2	2.9	3				
	Drosophila	adiastola	21							10	2.41 ± 0.092	45.92 ± 7.246	1	
	Antopocerus	aduncus	30	1.61 ± 0.039	0.46 ± 0.022	1.41 ± 0.136	1.56 ± 0.135	0.9	1.8	2				
	Antopocerus	aduncus	21							2	2.94 ± 0.119	11 ± 1.233	0.63	
	Drosophila	attigua	27	0.81 ± 0.023	0.22 ± 0.009	0.56 ± 0.037	0.58 ± 0.033	0.7	3.3					
	Drosophila	attigua	2								2.67 ± 0.063	43 ± 1.003	1	
Exalloscaptomyza	Scaptomyza	caliginosa	10	0.88 ± 0.029	0.32 ± 0.016				1.1	1				No filaments present
Exalloscaptomyza	Scaptomyza	caliginosa	24							1	0.93 ± 0.078	2.5 ± 0.293	0.33	
	Drosophila	clavisetae	25	0.99 ± 0.031	0.31 ± 0.01	1.19 ± 0.072	1.19 ± 0.072	1.2	2.7	3				
	Drosophila	clavisetae	7								2.71 ± 0.114	38.17 ± 3.558	1-2	
Engioscaptomyza	Drosophila	crassifemur	14								2.06 ± 0.292	5.36 ± 0.902	0.19	
Engioscaptomyza	Scaptomyza	crassifemur	15	1.01 ± 0.091	0.39 ± 0.019				2.1	1				No filaments present
	Drosophila	crucigera	30	0.81 ± 0.021	0.21 ± 0.008	1.09 ± 0.116	2 ± 0.148	2.5	2.6	3				
	Drosophila	crucigera	16							13	2.09 ± 0.188	40 ± 4.288	1-3	
	Antopocerus	diamphidiopodus	25	1.09 ± 0.039	0.29 ± 0.016	1.14 ± 0.084	1.23 ± 0.085	1.1	2.1	2				
	Antopocerus	diamphidiopodus	18							2	2.28 ± 0.131	18.44 ± 1.065	0.64	
	Drosophila	disticha	30	0.9 ± 0.028	0.26 ± 0.008	0.76 ± 0.019	0.83 ± 0.015	0.9	1.7	2				
	Drosophila	disticha	244							4	1.45 ± 0.101	11.79 ± 1.532	0.33	
	Drosophila	engyochracea	24	0.87 ± 0.036	0.23 ± 0.014	0.87 ± 0.107	3.08 ± 0.045	3.5	2.9	4				
	Drosophila	engyochracea	13								2.48 ± 0.115	59.73 ± 7.448	1-3	
	Drosophila	fasciculisetae	25	0.77 ± 0.023	0.22 ± 0.007	0.63 ± 0.065	0.73 ± 0.052	1	3.5	4				
	Drosophila	fasciculisetae	9								2.65 ± 0.222	47.22 ± 6.357	1-2	
Engioscaptomyza	Drosophila	inflatus	3								1.69 ± 0.025	7.25 ± 0.213	0.17	
	Drosophila	kambysellisi	30	0.79 ± 0.021	0.23 ± 0.007	0.48 ± 0.018	0.63 ± 0.356	0.7	1.9	2				
	Drosophila	kambysellisi	26							6	1.51 ± 0.076	15 ± 1.226	0.33	
Exalloscaptomyza	Scaptomyza	mauiensis	10	0.74 ± 0.022	0.28 ± 0.015				1.2	1				No filaments present
Exalloscaptomyza	Scaptomyza	mauiensis	18							1	0.87 ± 0.034	4 ± 0	0.25	
	Drosophila	melanocephala	30	0.9 ± 0.034	0.22 ± 0.007	1.27 ± 0.102	1.35 ± 0.115	1.5	3.7					
	Drosophila	melanocephala	6								3.31 ± 0.342	86.6 ± 9.243	1-2	
	Drosophila	mimica	325							7	1.78 ± 0.184	23.85 ± 4.214	0.9-1	
	Drosophila	mimica	39	0.74 ± 0.02	0.22 ± 0.006	0.52 ± 0.038	0.61 ± 0.035	0.8	2.4	2				
