genus	species	describer	sex	4C	4CI	4V	5X	HW	HW/FS	HW/TL	M	N	TL	TL/WL	WL
Drosophila	acrostichalis	Hardy	female	0.4	4.7 (4.6-4.9)	1.2 (1.2-1.3)	1.3 (1.3-1.4)	1.20 (1.19-1.22)	2.0 (1.9-2.0)	0.6	0.4	2	1.96 (1.95-1.97)	0.5	4.17 (4.16-4.17)
Drosophila	acrostichalis	Hardy	male	0.4 (0.4-0.5)	5.1 (4.9-5.3)	1.3 (1.2-1.3)	1.3 (1.2-1.4)	1.31 (1.25-1.33)	2	0.6 (0.6-0.7)	0.4 (0.3-0.4)	4	2.06 (2.02-2.11)	0.5	4.34 (4.21-4.42)
Drosophila	anapuu	n sp	male	0.5	4.8 (4.8-4.9)	1.3 (1.3-1.4)	1.5 (1.4-1.5)	1.02 (0.99-1.05)	2.2 (2.2-2.3)	0.7	0.4	2	1.48 (1.46-1.51)	0.5	3.16 (3.05-3.28)
Drosophila	apiki	n sp	female	0.6	3.8	1.4	1.6	1.08	2.3	0.7	0.4	1	1.47	0.5	3.15
Drosophila	apiki	n sp	male	0.6	3.8	1.3	1.6	1.02	2.3	0.8	0.4	1	1.32	0.5	2.82
Drosophila	barbata	n sp	female	0.6	4.5	1.7	1.6	1.02	2.2	0.7	0.5	1	1.42	0.5	2.76
Drosophila	barbata	n sp	male	0.6 (0.5-0.6)	4.2 (4.1-4.4)	1.6 (1.5-1.7)	1.7 (1.6-2.0)	0.93 (0.86-1.00)	2.1 (2.0-2.2)	0.8 (0.7-0.8)	0.5 (0.4-0.5)	5	1.20 (1.09-1.28)	0.5	2.54 (2.40-2.64)
Drosophila	dentilabia	n sp	female	0.6	4.1	1.5	1.3	0.98	2.4	0.8	0.4	1	1.2	0.5	2.53
Drosophila	dentilabia	n sp	male	0.5	4.4 (4.2-4.6)	1.3 (1.2-1.4)	1.1 (1.0-1.3)	1.02 (0.96-1.05)	2.4 (2.3-2.4)	0.8	0.3 (0.3-0.4)	3	1.28 (1.20-1.33)	0.5	2.49 (2.38-2.60)
Drosophila	gladius	n sp	male	0.6	4.2 (3.9-4.5)	1.6	1.7 (1.6-1.8)	1.00 (0.87-1.14)	2.1	0.9	0.5	2	1.13 (0.95-1.31)	0.4	2.73 (2.24-3.23)
Drosophila	incongruens	n sp	male	0.5	3.9 (3.9-4.0)	1.2 (1.2-1.3)	1.3 (1.2-1.5)	1.14	2.1	0.7	0.3 (0.3-0.4)	2	1.57 (1.56-1.59)	0.5 (0.4-0.5)	3.49
Drosophila	komohana	n sp	male	0.5	4.5	1.5	1.4	1.13	2.3	0.8	0.5	1	1.37	0.5	2.94
Drosophila	kualii	n sp	male	0.5 (0.4-0.6)	4.9 (4.1-5.8)	1.4 (1.2-1.6)	1.6	0.80 (0.75-0.85)	2.3	0.8	0.5	2	1.02 (1.00-1.05)	0.5 (0.4-0.5)	2.29 (2.07-2.50)
Drosophila	lelolua	n sp	male	0.8	3.8	2.1	1.9	0.88	2.3	0.8	0.7	1	1.1	0.5	2.3
Drosophila	nalomano	n sp	female	0.6	3.8	1.6	1.2	0.87	2.3	0.7	0.5	1	1.22	0.5	2.42
Drosophila	nalomano	n sp	male	0.5	3.9	1.4	1.3	0.78	2.2	0.8	0.4	1	1	0.5	2.1
Drosophila	omnivora	n sp	female	0.5 (0.4-0.5)	5.0 (4.5-5.5)	1.2 (1.1-1.4)	1.0 (0.9-1.1)	1.05 (0.93-1.10)	2.2 (2.1-2.2)	0.7 (0.6-0.7)	0.3 (0.3-0.4)	5	1.58 (1.45-1.70)	0.5	3.14 (2.95-3.23)
Drosophila	omnivora	n sp	male	0.4 (0.4-0.5)	4.8 (4.2-5.3)	1.2 (1.1-1.3)	1 (0.8-1.1)	1.04 (0.95-1.10)	2.2 (2.2-2.3)	0.7	0.3	5	1.48 (1.41-1.55)	0.5	2.98 (2.83-3.13)
Drosophila	orascopa	n sp	male	0.5	4.5	1.6	1.4	0.9	2.3	0.8	0.5	1	1.14	0.5	2.3
Drosophila	toxacantha	n sp	female	0.7	3.6	1.8	2.2	0.7	2.2	0.7	0.7	1	1.03	0.5	2.23
Drosophila	toxacantha	n sp	male	0.8 (0.7-0.9)	3.3 (3.0-3.5)	1.8 (1.8-1.9)	2.2 (2.0-2.6)	0.66 (0.63-0.70)	2.4 (2.3-2.6)	0.8	0.6 (0.6-0.7)	5	0.86 (0.83-0.93)	0.5	1.86 (1.80-1.98)
Drosophila	umiumi	n sp	female	0.5 (0.5-0.6)	4.7 (4.6-4.8)	1.6 (1.6-1.7)	1.6 (1.5-1.8)	1.08 (1.05-1.13)	2.1 (2.0-2.1)	0.7	0.5 (0.5-0.6)	3	1.57 (1.53-1.64)	0.5	3.18 (3.08-3.32)
Drosophila	umiumi	n sp	male	0.6	4 (3.8-4.4)	1.6 (1.5-1.6)	1.7 (1.6-1.8)	0.94 (0.85-1.01)	2.0 (2.0-2.1)	0.7 (0.7-0.8)	0.5	3	1.27 (1.18-1.38)	0.5 (0.4-0.5)	2.71 (2.60-2.79)
Drosophila	wahihuna	n sp	female	0.5	4.6	1.2	1	0.96 (0.88-1.04)	2.2	0.7	0.3	2	1.38 (1.25-1.51)	0.5	2.69 (2.54-2.85)
Drosophila	wahihuna	n sp	male	0.5	4.7 (4.6-4.8)	1.3	1	1.10 (1.04-1.15)	2.2 (2.2-2.3)	0.7 (0.7-0.8)	0.3 (0.3-0.4)	3	1.5 (1.46-1.55)	0.5	2.88 (2.80-2.95)
Drosophila	waikamoi	n sp	male	0.5	4.2	1.5	1.6	0.81	2.1	0.8	0.6	1	0.97	0.3	2.87
Drosophila	wikani	n sp	female	0.6	4	1.6	1.6	0.9	2.3	0.7	0.5	1	1.22	0.4	2.71
Drosophila	wikani	n sp	male	0.6	3.9 (3.6-4.2)	1.6 (1.5-1.7)	1.4 (1.3-1.6)	0.85 (0.79-0.92)	2.1 (2.1-2.2)	0.8	0.4 (0.4-0.5)	4	1.06 (1.01-1.15)	0.4	2.49 (2.28-2.71)
Drosophila	wikstroemiae	n sp	female	0.6	3.7	1.6	1.5	0.95	2.3	0.7	0.5	1	1.31	0.5	2.64
Drosophila	wikstroemiae	n sp	male	0.6	4.1 (3.9-4.4)	1.5 (1.5-1.6)	1.8 (1.8-2)	0.93 (0.87-0.99)	2.3 (2.3-2.4)	0.8	0.5	3	1.21 (1.15-1.25)	0.5	2.51 (2.42-2.59)
