genus	species	describer	sex	4C	4V	5X	CI	HW	HW/TL	M	N	TL	TL/WL_different	WL_different
Drosophila	acanthos	n sp	female	0.5 (0.4-0.5)	1.5 (1.4-1.6)	1.3 (1.2-1.4)	5.3 (5.0-5.7)	2.8  (2.5-3.1)	0.7	0.4	3	3.9  (3.7-4.3)	0.5	7.9  (7.5-8.6)
Drosophila	acanthos	n sp	male	0.4 (0.4-0.5)	1.4 (1.3-1.4)	1.4 (1.3-1.4)	5.4 (5.0-5.9)	2.7 (2.6-2.9)	0.7	0.4	3	3.7  (3.5-3.9)	0.5	7.3(7.2-7.4)
Drosophila	antecedens	n sp	female	0.4 (0.3-0.4)	1.2 (1.1-1.4)	1.1 (1.0-1.5)	5.3 (4.9-6.3)	3.1  (2.7-3.3)	0.7	0.3 (0.3-0.5)	10	4.4  (3.9-4.6)	0.5 (0.5-0.6)	8.4  (7.6-8.8)
Drosophila	antecedens	n sp	male	0.4 (0.4-0.5)	1.4 (1.1-1.5)	1.2 (1.1-1.3)	5.0 (4.6-5.0)	2.8 (2.4-3.1)	0.8 (0.7-0.8)	0.4 (0.3-0.4)	11	3.7  (3.2-4.0)	0.5	7.4(6.3-8.0)
Drosophila	chimera	n sp	male	NA	1.5	NA	5.1	2.3	0.7	NA	1	3.2	0.5	6.5
Drosophila	conjectura	Hardy	male	0.4 (0.4-0.5)	1.4 (1.3-1.5)	1.4 (1.3-1.5)	5.4 (5.0-5.6)	2.5(2.2-2.7)	0.8 (0.7-0.8)	0.4 (0.4-0.5)	7	3.3  (2.9-3.6)	0.5 (0.4-0.5)	7.2  (6.3-7.6)
Drosophila	echinostoma	n sp	male	0.5 (0.4-0.5)	1.4	1.4 (1.3-1.4)	5.3 (5.0-5.6)	3.0  (2.8-3.2)	0.8 (0.7-0.8)	0.4	2	3.4  (3.1-3.4)	0.5 (0.4-0.5)	7.7  (6.8-8.6)
Drosophila	flavibasis	Hardy	male	0.5	1.4 (1.4-1.5)	1.3 (1.1-1.5)	5.0 (5.0-5.1)	2.4 (2.3-2.5)	0.8	0.4	3	3.1  (3.0-3.2)	0.5	6.8(6.5-7.0)
Drosophila	gagne	n sp	male	0.5 (0.4-0.5)	1.3 (1.2-1.4)	1.1 (1.1-1.2)	5	2.8 (2.7-2.9)	0.8	0.4	3	3.5  (3.3-3.6)	0.5	7.0(6.9-7.0)
Drosophila	infuscata	Grimshaw	male	0.5	1.4 (1.3-1.4)	1.3	5	2.9  (2.8-2.9)	0.8 (0.7-0.8)	0.4	2	3.8	0.5	7.6 (7.5-7.6)
Drosophila	kauluai	Bryan	male	0.4	1.2	1.3	5	3.2	0.7	0.4	1	4.3	0.6	7.7
Drosophila	lobatopalpus	n sp	female	0.4 (0.4-0.5)	1.2 (1.1-1.2)	0.9 (0.8-1.0)	5.0 (4.6-5.4)	3.2 (3.0-3.5)	0.7	0.3	7	4.7  (4.3-4.9)	0.5	9.0(8.8-9.2)
Drosophila	lobatopalpus	n sp	male	0.4	1.1 (1.0-1.2)	1.0 (1.0-1.1)	5.2 (4.8-5.5)	3.4(3.1-3.5)	0.7 (0.7-0.9)	0.3	11	4.6  (3.7-4.8)	0.5 (0.4-0.5)	9.4  (9.1-9.8)
Drosophila	maemae	n sp	female	0.5 (0.5-0.6)	1.4 (1.2-1.4)	1.0 (0.9-1.1)	4.4 (4.3-4.5)	2.6 (2.6-2.7)	0.7	0.4 (0.3-0.4)	5	3.7  (3.6-3.8)	0.5	7.2(7.1-7.3)
Drosophila	mimica	Hardy	female	0.5 (0.4-0.5)	1.2 (1.1-1.3)	1.1 (0.9-1.3)	4.8 (4.3-5.6)	3.2  (2.6-3.5)	0.7 (0.7-0.8)	0.3 (0.3-0.4)	10	4.5  (3.1-5.1)	0.5 (0.4-0.5)	9.2  (7.8-10.1)
Drosophila	mimica	Hardy	male	0.4 (0.4-0.5)	1.2 (1.1-1.4)	1.1 (1.0-1.3)	5.3 (4.7-6.4)	3.1 (2.8-3.3)	0.7 (0.7-0.8)	0.3 (0.3-0.4)	10	4.2  (3.7-4.6)	0.5	9.0(8.1-9.6)
Drosophila	reschae	Hardy & Kaneshiro	male	0.5	1.5	1.6	4.7	1.9	0.7	0.4	1	2.7	0.5	5.9
