clade	subgenus	group	subgroup	genus	species	describer	describer_details	notes
AMC		antopocerus	villosa	Drosophila	arcuata	Hardy	1965:47:00	
AMC		antopocerus	adunca	Drosophila	adunca	Hardy	1965:44:00	
AMC		antopocerus	diamphidiopoda	Drosophila	diamphidiopoda	Hardy	1965:50:00	
AMC		antopocerus	villosa	Drosophila	entrichocnema	Hardy	1965:52:00	
AMC		antopocerus	diamphidiopoda	Drosophila	orthoptera	Hardy	1965:56:00	
AMC		antopocerus	diamphidiopoda	Drosophila	tanythrix	Hardy	1965:58:00	
AMC		antopocerus	villosa	Drosophila	villosa	Hardy	1966:01:00	
AMC		antopocerus	adunca	Drosophila	longiseta	Grimshaw	1902:08:00	
AMC		antopocerus	diamphidiopoda	Drosophila	cognata	Grimshaw	1902:09:00	
AMC		antopocerus	diamphidiopoda	Drosophila	yooni	Hardy	1978:29:00	
AMC		antopocerus	diamphidiopoda	Drosophila	kaneshiroi	Hardy	1978:29:00	
AMC		antopocerus	villosa	Drosophila	curvata	Hardy	1978:32:00	
AMC		antopocerus	villosa	Drosophila	apicalis	Hardy	1978:33:00	
AMC		antopocerus	villosa	Drosophila	stigma	Hardy	1978:34:00	
AMC		antopocerus	villosa	Drosophila	picea	Hardy	1978a: 102	
AMC		modified tarsus	spoon tarsus	Drosophila	waddingtoni	Basden	1979:05:00	
AMC		modified tarsus	spoon tarsus	Drosophila	sordidapex	Grimshaw	1902:03:00	
AMC		modified tarsus	ciliated tarsus	Drosophila	xanthosoma	Grimshaw	1902:08:00	
AMC		modified tarsus	split tarsus	Drosophila	chaetocephala	Hardy & Kaneshiro	1980:16:00	
AMC		modified tarsus	split tarsus	Drosophila	cornutitarsus	Hardy & Kaneshiro	1980:18:00	
AMC		modified tarsus	split tarsus	Drosophila	dicropeza	Hardy & Kaneshiro	1980:19:00	
AMC		modified tarsus	split tarsus	Drosophila	furcatarsus	Hardy & Kaneshiro	1980:21:00	
AMC		modified tarsus	split tarsus	Drosophila	paracracens	Hardy & Kaneshiro	1980:22:00	
AMC		modified tarsus	split tarsus	Drosophila	paucitarsus	Hardy & Kaneshiro	1980:23:00	
AMC		modified tarsus	split tarsus	Drosophila	systenopeza	Hardy & Kaneshiro	1980:25:00	
AMC		modified tarsus	split tarsus	Drosophila	forficata	Hardy, & Kaneshiro	1980:20:00	
AMC		modified tarsus	split tarsus	Drosophila	ancyla	Hardy	1967:25:00	
AMC		modified tarsus	bristle tarsus	Drosophila	apicisetae	Hardy	1967:32:00	
AMC		modified tarsus	bristle tarsus	Drosophila	apodasta	Hardy	1967:34:00	
AMC		modified tarsus	split tarsus	Drosophila	attenuata	Hardy	1967:45:00	
AMC		modified tarsus	bristle tarsus	Drosophila	basimacula	Hardy	1967:50:00	
AMC		modified tarsus	split tarsus	Drosophila	basisetosa	Hardy	1967:53:00	
AMC		modified tarsus	bristle tarsus	Drosophila	bicondyla	Hardy	1967:56:00	
AMC		modified tarsus	bristle tarsus	Drosophila	brevitarsus	Hardy	1968:08:00	
AMC		modified tarsus	ciliated tarsus	Drosophila	brunneifrons	Hardy	1968:11:00	
AMC		modified tarsus	bristle tarsus	Drosophila	brunneisetae	Hardy	1968:13:00	
AMC		modified tarsus	ciliated tarsus	Drosophila	caccabata	Hardy	1968:16:00	
AMC		modified tarsus	split tarsus	Drosophila	capitata	Hardy	1968:22:00	
AMC		modified tarsus	ciliated tarsus	Drosophila	carnosa	Hardy	1968:24:00	
AMC		modified tarsus	split tarsus	Drosophila	clavata	Hardy	1968:31:00	
AMC		modified tarsus	ciliated tarsus	Drosophila	clavitibia	Hardy	1968:33:00	
AMC		modified tarsus	split tarsus	Drosophila	cnecopleura	Hardy	1968:36:00	
AMC		modified tarsus	spoon tarsus	Drosophila	conformis	Hardy	1968:39:00	
AMC		modified tarsus	spoon tarsus	Drosophila	contorta	Hardy	1968:46:00	
AMC		modified tarsus	split tarsus	Drosophila	cracens	Hardy	1968:47:00	
AMC		modified tarsus	spoon tarsus	Drosophila	dasycnemia	Hardy	1968:56:00	
AMC		modified tarsus	ciliated tarsus	Drosophila	diffusa	Hardy	1969:02:00	
AMC		modified tarsus	split tarsus	Drosophila	dorsigera	Hardy	1969:14:00	
AMC		modified tarsus	ciliated tarsus	Drosophila	dorsociliata	Hardy	1969:16:00	
AMC		modified tarsus	ciliated tarsus	Drosophila	dumalis	Hardy	1969:20:00	
AMC		modified tarsus	split tarsus	Drosophila	enoplotarsus	Hardy	1969:22:00	
AMC		modified tarsus	bristle tarsus	Drosophila	expansa	Hardy	1969:28:00	
AMC		modified tarsus	spoon tarsus	Drosophila	fastigata	Hardy	1969:31:00	
AMC		modified tarsus	split tarsus	Drosophila	fundita	Hardy	1969:39:00	
AMC		modified tarsus	ciliated tarsus	Drosophila	fusticula	Hardy	1969:52:00	
AMC		modified tarsus	ciliated tarsus	Drosophila	gilvilateralis	Hardy	1969:54:00	
AMC		modified tarsus	ciliated tarsus	Drosophila	imparisetae	Hardy	1970:15:00	
AMC		modified tarsus	spoon tarsus	Drosophila	incognita	Hardy	1970:19:00	
AMC		modified tarsus	ciliated tarsus	Drosophila	kraussi	Hardy	1970:36:00	
AMC		modified tarsus	ciliated tarsus	Drosophila	latigena	Hardy	1970:42:00	
AMC		modified tarsus	bristle tarsus	Drosophila	lemniscata	Hardy	1970:43:00	
AMC		modified tarsus	ciliated tarsus	Drosophila	melanopedis	Hardy	1971:02:00	
AMC		modified tarsus	spoon tarsus	Drosophila	mimiconformis	Hardy	1971:07:00	
AMC		modified tarsus	spoon tarsus	Drosophila	neutralis	Hardy	1971:23:00	
AMC		modified tarsus	ciliated tarsus	Drosophila	nigritarsus	Hardy	1971:30:00	
AMC		modified tarsus	ciliated tarsus	Drosophila	orestes	Hardy	1971:40:00	
AMC		modified tarsus	ciliated tarsus	Drosophila	paucula	Hardy	1971:45:00	
AMC		modified tarsus	split tarsus	Drosophila	pectinitarsus	Hardy	1971:47:00	
AMC		modified tarsus	spoon tarsus	Drosophila	percnosoma	Hardy	1971:50:00	
AMC		modified tarsus	bristle tarsus	Drosophila	perissopoda	Hardy	1971:52:00	
AMC		modified tarsus	split tarsus	Drosophila	proceriseta	Hardy	1972:05:00	
AMC		modified tarsus	bristle tarsus	Drosophila	prodita	Hardy	1972:07:00	
AMC		modified tarsus	split tarsus	Drosophila	propiofacies	Hardy	1972:14:00	
AMC		modified tarsus	bristle tarsus	Drosophila	quasiexpansa	Hardy	1972:24:00	
AMC		modified tarsus	bristle tarsus	Drosophila	redunca	Hardy	1972:26:00	
AMC		modified tarsus	bristle tarsus	Drosophila	seclusa	Hardy	1972:38:00	
AMC		modified tarsus	ciliated tarsus	Drosophila	setipalpus	Hardy	1972:46:00	
AMC		modified tarsus	bristle tarsus	Drosophila	spicula	Hardy	1972:52:00	
AMC		modified tarsus	bristle tarsus	Drosophila	torula	Hardy	1973:04:00	
AMC		modified tarsus	bristle tarsus	Drosophila	trichaetosa	Hardy	1973:09:00	
AMC		modified tarsus	bristle tarsus	Drosophila	unicula	Hardy	1973:15:00	
AMC		modified tarsus	split tarsus	Drosophila	variabilis	Hardy	1973:17:00	
AMC		modified tarsus	ciliated tarsus	Drosophila	williamsi	Hardy	1973:32:00	
AMC		modified tarsus	ciliated tarsus	Drosophila	xanthognoma	Hardy	1973:33:00	
AMC		modified tarsus	bristle tarsus	Drosophila	petalopeza	Hardy	1973:52:00	
AMC		modified tarsus	spoon tarsus	Drosophila	atroscutellata	Hardy	1969:20:00	
AMC		modified tarsus	Unplaced modified-tarsus species	Drosophila	gubleri	Hardy	1969:28:00	
AMC		modified tarsus	split tarsus	Drosophila	kokeensis	Hardy	1969:32:00	
AMC		modified tarsus	split tarsus	Drosophila	spiethi	Hardy	1969:37:00	
AMC		modified tarsus	ciliated tarsus	Drosophila	medialis	Hardy	1970:04:00	
AMC		modified tarsus	spoon tarsus	Drosophila	kikalaeleele	Lapoint, Magnacca & O’Grady	2010:01:00	
Picture wing clade		adiastola	truncipenna	Drosophila	varipennis	Grimshaw	1901:54:00	
Picture wing clade		adiastola	adiastola	Drosophila	clavisetae	Hardy	1969:39:00	
Picture wing clade		adiastola	adiastola	Drosophila	cilifera	Hardy & Kaneshiro	1971:57:00	
Picture wing clade		adiastola	adiastola	Drosophila	ochrobasis	Hardy & Kaneshiro	1972:00:00	
Picture wing clade		adiastola	adiastola	Drosophila	setosimentum	Hardy & Kaneshiro	1972:01:00	
Picture wing clade		adiastola	truncipenna	Drosophila	hamifera	Hardy & Kaneshiro	1972:14:00	
Picture wing clade		adiastola	adiastola	Drosophila	neogrimshawi	Hardy & Kaneshiro	1972:21:00	
Picture wing clade		adiastola	adiastola	Drosophila	ornata	Hardy & Kaneshiro	1969:49:00	
Picture wing clade		adiastola	truncipenna	Drosophila	paenehamifera	Hardy & Kaneshiro	1969:50:00	
Picture wing clade		adiastola	adiastola	Drosophila	touchardiae	Hardy & Kaneshiro	1974:39:00	
Picture wing clade		adiastola	adiastola	Drosophila	adiastola	Hardy	1967:14:00	
Picture wing clade		adiastola	adiastola	Drosophila	peniculipedis	Hardy	1971:48:00	
Picture wing clade		adiastola	adiastola	Drosophila	spectabilis	Hardy	1972:50:00	
Picture wing clade		adiastola	truncipenna	Drosophila	truncipenna	Hardy	1973:11:00	
Picture wing clade		adiastola	adiastola	Drosophila	neoclavisetae	Perreira & Kaneshiro	1991:21:00	
Picture wing clade		adiastola	adiastola	Drosophila	toxochaeta	Perreira & Kaneshiro	1991:24:00	
Picture wing clade		anomalipes		Drosophila	anomalipes	Grimshaw	1902:02:00	
Picture wing clade		anomalipes		Drosophila	quasianomalipes	Hardy	1972:22:00	
Picture wing clade		ateledrosophila		Drosophila	diamphidia	Hardy	1966:03:00	
Picture wing clade		ateledrosophila		Drosophila	preapicula	Hardy	1966:04:00	
Picture wing clade		ateledrosophila		Drosophila	papala	Magnacca & O’Grady	2008a: 403	
Picture wing clade		grimshawi	punalua	Drosophila	punalua	Bryan	1941:18:00	
Picture wing clade		grimshawi	conspicua	Drosophila	conspicua	Grimshaw	1901:59:00	
Picture wing clade		grimshawi	hawaiiensis	Drosophila	hawaiiensis	Grimshaw	1902:00:00	
Picture wing clade		grimshawi	Unplaced grimshawi species	Drosophila	lanaiensis	Grimshaw	1902:00:00	
Picture wing clade		grimshawi	orphnopeza	Drosophila	ochracea	Grimshaw	1902:01:00	
Picture wing clade		grimshawi	pilimana	Drosophila	pilimana	Grimshaw	1902:01:00	
Picture wing clade		grimshawi	punalua	Drosophila	paucipuncta	Grimshaw	1902:02:00	
Picture wing clade		grimshawi	crucigera	Drosophila	crucigera	Grimshaw	1902:26:00	
Picture wing clade		grimshawi	punalua	Drosophila	basisetae	Hardy & Kaneshiro	1970:58:00	
Picture wing clade		grimshawi	vesciseta	Drosophila	digressa	Hardy & Kaneshiro	1971:00:00	
Picture wing clade		grimshawi	pilimana	Drosophila	discreta	Hardy & Kaneshiro	1971:02:00	
Picture wing clade		grimshawi	hawaiiensis	Drosophila	flexipes	Hardy & Kaneshiro	1971:06:00	
Picture wing clade		grimshawi	pilimana	Drosophila	glabriapex	Hardy & Kaneshiro	1971:08:00	
Picture wing clade		grimshawi	hawaiiensis	Drosophila	gradata	Hardy & Kaneshiro	1971:11:00	
Picture wing clade		grimshawi	hawaiiensis	Drosophila	hirtipalpus	Hardy & Kaneshiro	1971:12:00	
Picture wing clade		grimshawi	orphnopeza	Drosophila	limitata	Hardy & Kaneshiro	1971:14:00	
Picture wing clade		grimshawi	pilimana	Drosophila	lineosetae	Hardy & Kaneshiro	1971:17:00	
Picture wing clade		grimshawi	conspicua	Drosophila	liophallus	Hardy & Kaneshiro	1971:19:00	
Picture wing clade		grimshawi	conspicua	Drosophila	macrothrix	Hardy & Kaneshiro	1971:20:00	
Picture wing clade		grimshawi	conspicua	Drosophila	odontophallus	Hardy & Kaneshiro	1971:22:00	
Picture wing clade		grimshawi	orphnopeza	Drosophila	orphnopeza	Hardy & Kaneshiro	1971:25:00	
Picture wing clade		grimshawi	orphnopeza	Drosophila	orthofascia	Hardy & Kaneshiro	1971:26:00	
Picture wing clade		grimshawi	Unplaced grimshawi species	Drosophila	pilatisetae	Hardy & Kaneshiro	1971:29:00	
