original_group	new_group	new_genus	new_species	new_describer	original_genus	original_species	original_describer	change
	Ateledrosophila	Drosophila	diamphidia	Hardy, New Comb.	Ateledrosophila	diamphidia	Hardy, 1965:63-64.	new comb
	Antopocerus	Drosophila	adunca	Hardy, New Comb.	Antopocerus	aduncus	Hardy, 1965:44-46.	new comb
	Nudidrosophila	Drosophila	aenicta	Hardy, New Comb.	Nudidrosophila	aenicta	Hardy, 1966:227-231.	new comb
	Nudidrosophila	Drosophila	amita	Hardy, New Comb.	Nudidrosophila	amita	Hardy, 1965:565-567.	new comb
	Antopocerus	Drosophila	cognata	Grimshaw, 1901, Fauna Hawaiiensis 31:69.	Antopocerus	cognatus	Hardy, 1965:48-50.	new name
	Antopocerus	Drosophila	diamphidiopoda	Hardy, New Comb.	Antopocerus	diamphidiopodus	Hardy, 1965:50-52.	new comb
	Antopocerus	Drosophila	entrichocnema	Hardy, New Comb.	Antopocerus	entrichocnemus	Hardy, 1965:52-53.	new comb
	Nudidrosophila	Drosophila	eximia	Hardy, New Comb.	Nudidrosophila	eximia	Hardy, 1965:567-569.	new comb
	Nudidrosophila	Drosophila	gemmula	Hardy, New Comb.	Nudidrosophila	gemmula	Hardy, 1965:569-571.	new comb
	Nudidrosophila	Drosophila	lepidobregma	Hardy, New Comb.	Nudidrosophila	lepidobregma	Hardy, 1965:571-573.	new comb
	Antopocerus	Drosophila	longiseta	Grimshaw, 1901, Fauna Hawaiiensis 31:68.	Antopocerus	longiseta	Hardy, 1965:54-56.	new name
	Antopocerus	Drosophila	orthoptera	Hardy, New Comb.	Antopocerus	orthopterus	Hardy, 1965:56-58.	new comb
	Ateledrosophila	Drosophila	preapicula	Hardy, New Comb.	Ateledrosophila	preapicula	Hardy, 1965:64-66.	new comb
	Antopocerus	Drosophila	tanythrix	Hardy, New Comb.	Antopocerus	tanythrix	Hardy, 1965:58-61.	new comb
	Antopocerus	Drosophila	villosa	Hardy, New Comb.	Antopocerus	villosus	Hardy, 1965:61-62.	new comb
	Antopocerus	Drosophila	arcuata	Hardy, New Comb.	Antopocerus	arcuatus	Hardy, 1965:47-48.	new comb
