new_group	new_subgroup	genus	species	describer	island
adiastola	adiastola	Drosophila	adiastola	Hardy, 1965	Maui, Lanai
adiastola	adiastola	Drosophila	cilifera	Hardy and Kaneshiro, 1968	Molokai
adiastola	adiastola	Drosophila	ochrobasis	Hardy and Kaneshiro, 1968	Hawaii
adiastola	adiastola	Drosophila	ornata	Hardy & Kaneshiro, 1969	Kauai
adiastola	adiastola	Drosophila	peniculipedis	Hardy, 1965	Maui
adiastola	adiastola	Drosophila	setosimentum	Hardy and Kaneshiro, 1968	Hawaii
adiastola	adiastola	Drosophila	touchardiae	Hardy & Kaneshiro, 1972	Oahu
adiastola	adiastola	Drosophila	toxochaeta	Perreira & Kaneshiro, 1990	Molokai
adiastola	clavisetae	Drosophila	clavisetae	(Hardy, 1966)	Maui
adiastola	clavisetae	Drosophila	neoclavisetae	Perreira & Kaneshiro, 1990	Maui
adiastola	clavisetae	Drosophila	neogrimshawi	Hardy and Kaneshiro, 1968	Oahu
adiastola	clavisetae	Drosophila	spectabilis	Hardy, 1965	Maui, Molokai, Lanai
adiastola	truncipenna	Drosophila	hamifera	Hardy and Kaneshiro, 1968	Maui
adiastola	truncipenna	Drosophila	paenehamifera	Hardy & Kaneshiro, 1969	Maui
adiastola	truncipenna	Drosophila	truncipenna	Hardy, 1965	Maui
adiastola	truncipenna	Drosophila	varipennis	(Grimshaw, 1901)	Molokai
adiastola	truncipenna	Drosophila	nr. truncipenna		Oahu
grimshawi	aglaia	Drosophila	aglaia	Hardy, 1965	Oahu
grimshawi	aglaia	Drosophila	alsophila	Hardy & Kaneshiro, 1971	Hawaii
grimshawi	aglaia	Drosophila	conspicua	Grimshaw, 1901	Hawaii
grimshawi	aglaia	Drosophila	kikiko	Magnacca, 2012	Kauai
grimshawi	aglaia	Drosophila	kinoole	Magnacca, 2012	Oahu
grimshawi	aglaia	Drosophila	nr. alsophila		Maui
grimshawi	crucigera	Drosophila	affinidisjuncta	Hardy, 1978	Maui
grimshawi	crucigera	Drosophila	balioptera	Hardy, 1965	Maui, Molokai
grimshawi	crucigera	Drosophila	bostrycha	Hardy, 1965	Molokai
grimshawi	crucigera	Drosophila	craddockae	Kambysellis & Kaneshiro, 1999	Oahu, Kauai
grimshawi	crucigera	Drosophila	crucigera	Grimshaw, 1902	Oahu, Kauai
grimshawi	crucigera	Drosophila	disjuncta	Hardy, 1965	Maui
grimshawi	crucigera	Drosophila	grimshawi	Oldenberg, 1914	Maui, Molokai, Lanai
grimshawi	crucigera	Drosophila	pullipes	Hardy & Kaneshiro, 1972	Hawaii
grimshawi	discreta	Drosophila	discreta	Hardy and Kaneshiro, 1968	Maui
grimshawi	discreta	Drosophila	fasciculisetae	Hardy, 1965	Maui, Molokai
grimshawi	discreta	Drosophila	glabriapex	Hardy and Kaneshiro, 1968	Kauai
grimshawi	discreta	Drosophila	lineosetae	Hardy and Kaneshiro, 1968	Maui
grimshawi	discreta	Drosophila	pilimana	Grimshaw, 1901	Oahu
grimshawi	distinguenda	Drosophila	distinguenda	Hardy, 1965	Oahu
grimshawi	distinguenda	Drosophila	divaricata	Hardy & Kaneshiro, 1971	Oahu
grimshawi	distinguenda	Drosophila	inedita	Hardy, 1965	Oahu
grimshawi	hawaiiensis	Drosophila	flexipes	Hardy and Kaneshiro, 1968	Oahu
grimshawi	hawaiiensis	Drosophila	formella	Hardy & Kaneshiro, 1972	Hawaii
grimshawi	hawaiiensis	Drosophila	gradata	Hardy and Kaneshiro, 1968	Oahu
grimshawi	hawaiiensis	Drosophila	gymnobasis	Hardy & Kaneshiro, 1971	Maui
grimshawi	hawaiiensis	Drosophila	hawaiiensis	Grimshaw, 1901	Hawaii
grimshawi	hawaiiensis	Drosophila	heedi	Hardy & Kaneshiro, 1971	Hawaii
grimshawi	hawaiiensis	Drosophila	hirtipalpus	Hardy and Kaneshiro, 1968	Maui
grimshawi	hawaiiensis	Drosophila	lasiopoda	Hardy & Kaneshiro, 1975	Maui
grimshawi	hawaiiensis	Drosophila	musaphilia	Hardy, 1965	Kauai
grimshawi	hawaiiensis	Drosophila	nukea	Magnacca, 2012	Molokai
