original_genus	original_subgenus	original_species	original_describer	new_genus	new_subgenus	new_species	new_describer	change
Drosophila	Engiscaptomyza	amplilobus	Hardy	Scaptomyza	Engiscaptomyza	ampliloba	Hardy	new comb
Drosophila	Engiscaptomyza	crassifemur	Grimshaw	Scaptomyza	Engiscaptomyza	crassifemur	Grimshaw	new comb
Drosophila	Engiscaptomyza	inflatus	Kaneshiro	Scaptomyza	Engiscaptomyza	inflatus	Kaneshiro	new comb
Drosophila	Engiscaptomyza	lonchoptera	Hardy	Scaptomyza	Engiscaptomyza	lonchoptera	Hardy	new comb
Drosophila	Engiscaptomyza	nasalis	Grimshaw	Scaptomyza	Engiscaptomyza	nasalis	Grimshaw	new comb
Drosophila	Engiscaptomyza	reducta	Hardy	Scaptomyza	Engiscaptomyza	reducta	Hardy	new comb
Drosophila	Engiscaptomyza	undulata	Grimshaw	Scaptomyza	Engiscaptomyza	undulata	Grimshaw	new comb
Grimshawomyia		palata	Hardy	Scaptomyza	Grimshawomyia	palata	Hardy	new comb
Grimshawomyia		perkinsi	Grimshaw	Scaptomyza	Grimshawomyia	perkinsi	Grimshaw	new comb
Titanochaeta		bryani	Wirth	Scaptomyza	Titanochaeta	bryani	Wirth	new comb
Titanochaeta		chauliodon	Hardy	Scaptomyza	Titanochaeta	chauliodon	Hardy	new comb
Titanochaeta		contestata	Hardy	Scaptomyza	Titanochaeta	contestata	Hardy	new comb
Titanochaeta		evexa	Hardy	Scaptomyza	Titanochaeta	neoevexa	O’Grady et al	new comb
Titanochaeta		glauca	Hardy	Scaptomyza	Titanochaeta	glauca	Hardy	new comb
Titanochaeta		ichneumon	Knab	Scaptomyza	Titanochaeta	ichneumon	Knab	new comb
Titanochaeta		kauaiensis	Hardy	Scaptomyza	Titanochaeta	neokauaiensis	O’Grady et al	new comb
Titanochaeta		setosiscutellum	Hardy	Scaptomyza	Titanochaeta	setosiscutellum	Hardy	new comb
Titanochaeta		silvicola	Hardy	Scaptomyza	Titanochaeta	neosilvicola	O’Grady et al	new comb
Titanochaeta		swezeyi	Wirth	Scaptomyza	Titanochaeta	swezeyi	Wirth	new comb
Titanochaeta		vittiger	Hardy	Scaptomyza	Titanochaeta	vittigera	Hardy	new comb
