original_group	original_subgenus	new_group	new_subgenus	original_genus	original_species	original_describer	new_genus	new_species	new_describer	change	publication
				Drosophila	disticha	Hardy	Drosophila	waddingtoni	Basden	new name	Basden_1975_Waddingtoni
				Drosophila	fungicola	Hardy	Drosophila	fungiperda	Hardy	new name	Hardy_1966_Descriptions_VIII
				Drosophila	intermedia	Hardy	Drosophila	medialis	Hardy	new name	Hardy_1966_Descriptions_VIII
				Idiomyia	bruneipenis	Hardy	Drosophila	nigribasis	Hardy	incorrect to literature	Hardy_1970_NotesIdiomyia_VI
				Idiomyia	stenoptera	Hardy	Drosophila	substenoptera	Hardy	new name	Hardy_1970_NotesIdiomyia_VI
				Drosophila	diamphidopoda	Hardy	Drosophila	diamphidiopoda	Hardy	mistyped	Hardy_1977_Antopocerus
				Drosophila	nigricolor	Hardy	Drosophila	picea	Hardy	new name	Hardy_1978_ReplacementName
	Hypenomyia			Drosophila	reburra	Hardy	Drosophila	nigra	Grimsahw	new synonym	Hardy_2001_Haleakala
				Drosophila	transfuga	Hardy	Drosophila	polita	Grimshaw	new synonym	Hardy_2001_Haleakala
				Idiomyia	grimshawi	Bryan	Drosophila	neogrimshawi		new name	HardyKaneshiro_1968_NewPW_I
				Drosophila	musaphila	Hardy	Drosophila	musaphilia	Hardy	incorrect to literature	HardyKaneshiro_1968_NewPW_I
				Drosophila	neglecta	Hardy	Drosophila	hexachaetae	Hardy	new synonym	HardyKaneshiro_1968_NewPW_I
				Idiomyia	nigrifacies	Hardy	Drosophila	silvestris	Perkins	new synonym	HardyKaneshiro_1968_NewPW_I
				Idiomyia	perkinsi	Grimshaw	Drosophila	neoperkinsi		new name	HardyKaneshiro_1968_NewPW_I
				Idiomyia	picta	Grimshaw	Drosophila	neopicta		new name	HardyKaneshiro_1968_NewPW_I
				Drosophila	reburra	Hardy	Drosophila	nigra	Hardy	new synonym	HardyKaneshiro_1968_NewPW_I
				Idiomyia	silvestris	Perkins	Drosophila	silvestris	Perkins	new comb	HardyKaneshiro_1968_NewPW_I
				Drosophila	mycetophila	Hardy	Drosophila	goureaui	Hardy & Kaneshiro	new name	HardyKaneshiro_1972_NewPW_III
				Drosophila	septuosa	Hardy	Drosophila	percnosoma	Hardy	new synonym	Lapoint_2009_Spoon
				Drosophila	aethostoma	Hardy & Kaneshiro	Drosophila	humeralis	Hardy	new synonym	MagnaccaOgrady_2006_SubgroupMouthparts
mimica		mimica		Drosophila	odontostoma	Kam and Perreira	Drosophila	chaetopeza	Hardy	new synonym	MagnaccaOgrady_2006_SubgroupMouthparts
