original_genus	original_species	new_genus	new_species	change	publication
Idiomyia	bruneipenis	Drosophila	nigribasis	incorrect to literature	Hardy_1970_NotesIdiomyia_VI
Drosophila	musaphila	Drosophila	musaphilia	incorrect to literature	HardyKaneshiro_1968_NewPW_I
Ateledrosophila	preapicala	Drosophila	preapicula	incorrect to literature	Kambysellis_1971_Oogenesis;Kaneshiro_1976_RevisionGeneric
Drosophila	entrichocnemia	Drosophila	entrichocnema	incorrect to literature	Magnacca_2013_HostPlants
Drosophila	melancephala	Drosophila	melanocephala	incorrect to literature	Magnacca_2013_HostPlants
Drosophila	paenihamifera	Drosophila	paenehamifera	incorrect to literature	MagnaccaPrice_2012_PictureWing
Drosophila	affinisdisjuncta	Drosophila	affinidisjuncta	incorrect to literature	Ogrady_2010_TaxonomicRelationships
Scaptomyza	amplilobus	Scaptomyza	ampliloba	incorrect to literature	Ogrady_2010_TaxonomicRelationships
Scaptomyza	apicigutulla	Scaptomyza	apiciguttula	incorrect to literature	Ogrady_2010_TaxonomicRelationships
Drosophila	araiotricha	Drosophila	araiotrichia	incorrect to literature	Ogrady_2010_TaxonomicRelationships
Scaptomyza	grahmi	Scaptomyza	grahami	incorrect to literature	Ogrady_2010_TaxonomicRelationships
Drosophila	obtatai	Drosophila	obatai	incorrect to literature	Ogrady_2010_TaxonomicRelationships
Scaptomyza	sweyzei	Scaptomyza	swezeyi	incorrect to literature	Ogrady_2010_TaxonomicRelationships
Drosophila	velutifrons	Drosophila	velutinifrons	incorrect to literature	Ogrady_2010_TaxonomicRelationships
Scaptomyza	vittiger	Scaptomyza	vittigera	incorrect to literature	Ogrady_2010_TaxonomicRelationships
Drosophila	cneucopleura	Drosophila	cnecopleura	incorrect to literature	Ogrady_2011_PhylogeneticMitochondrial
Drosophila	procerisetae	Drosophila	proceriseta	incorrect to literature	Ogrady_2011_PhylogeneticMitochondrial
Drosophila	prolacticilia	Drosophila	prolaticilia	incorrect to literature	Ogrady_2011_PhylogeneticMitochondrial
Drosophila	villosepedis	Drosophila	villosipedis	incorrect to literature	Ogrady_2011_PhylogeneticMitochondrial
Drosophila	aduncus	Drosophila	adunca	incorrect to literature	Starmer_2003_OvarioleNumber
Drosophila	diamphidiopodus	Drosophila	diamphidiopoda	incorrect to literature	Starmer_2003_OvarioleNumber
Drosophila	preapicala	Drosophila	preapicula	incorrect to literature	Starmer_2003_OvarioleNumber
