Sequence_ID	organism	Collection_date	Lat_Lon	Country	Collected_by	Isolation_source	Identified_by	Sex	Tissue_type	Note	biosample
002C	Drosophila nanella	13-Apr-2017	22.079917 N 159.674133 W	USA	Samuel Church	caught sweeping Paisonia Leaves	Samuel Church	female	carcass	DNA isolate from TRIzol extraction	SAMN19287843
002D	Drosophila nanella	13-Apr-2017	22.079917 N 159.674133 W	USA	Samuel Church	caught sweeping Paisonia Leaves	Samuel Church	female	whole body	DNA isolate from TRIzol extraction	SAMN19287846
018C	Scaptomyza varipicta	15-Apr-2017	22.130017 N 159.660283 W	USA	Samuel Church	caught sweeping Corynocarpus sp leaves	Samuel Church	female	carcass	DNA isolate from TRIzol extraction	
018mA	Scaptomyza varipicta	15-Apr-2017	22.130017 N 159.660283 W	USA	Samuel Church	caught sweeping Corynocarpus sp leaves	Samuel Church	male	leg	leg from specimen in Ethanol	
018mE	Drosophila atroscutellata	15-Apr-2017	22.130017 N 159.660283 W	USA	Samuel Church	caught sweeping Corynocarpus sp leaves	Samuel Church	male	leg	leg from specimen in Ethanol	
020A	Scaptomyza varipicta	15-Apr-2017	22.138933 N 159.67465 W	USA	Karl Magnacca	caught sweeping Cheirodendron sp leaves	Samuel Church	female	whole body	DNA isolate from TRIzol extraction	SAMN19287860
020B	Scaptomyza varipicta	15-Apr-2017	22.138933 N 159.67465 W	USA	Karl Magnacca	caught sweeping Cheirodendron sp leaves	Samuel Church	female	carcass	DNA isolate from TRIzol extraction	SAMN19287861
020C	Scaptomyza varipicta	15-Apr-2017	22.138933 N 159.67465 W	USA	Karl Magnacca	caught sweeping Cheirodendron sp leaves	Samuel Church	female	carcass	DNA isolate from TRIzol extraction	SAMN19287864
020D	Scaptomyza varipicta	15-Apr-2017	22.138933 N 159.67465 W	USA	Karl Magnacca	caught sweeping Cheirodendron sp leaves	Samuel Church	female	carcass	DNA isolate from TRIzol extraction	SAMN19287867
021A	Drosophila atroscutellata	15-Apr-2017	22.130017 N 159.660283 W	USA	Samuel Church	caught sweeping Corynocarpus sp leaves	Samuel Church	female	carcass	DNA isolate from TRIzol extraction	SAMN19287870
