ID	species	general site	locality	collection date	dissection date	days elapsed	RNA extraction date	collection method	permit	GPS N	GPS W
16.1-1	Drosophila cf dives	Hawai'i Volcanoes National Park	Bird park	5/9/2016	5/20/2016	11	11/15/2016	baits	DOFAW I1012; HAVO-2017-SCI-0017	N19° 26.3512' 	W155° 18.2225'
040C	Drosophila mimica	Hawai'i Volcanoes National Park	Bird park	4/17/2017	4/22/2017	5	2/11/2017	sweeping Sapindus saponaria leaves	DOFAW I1012; HAVO-2017-SCI-0017	N19° 26.3512' 	W155° 18.2225'
055A	Drosophila macrothrix	Hawai'i Volcanoes National Park	Ola'a tract, pole 44	4/17/2017	4/22/2017	5	3/24/2017	baits	DOFAW I1012; HAVO-2017-SCI-0017	N19° 27.722' 	W155° 14.875'
043D	Drosophila tanythrix	Hawai'i Volcanoes National Park	Ola'a tract, pole 44	4/18/2017	4/23/2017	5	1/24/2017	baits	DOFAW I1012; HAVO-2017-SCI-0017	N19° 27.722' 	W155° 14.875'
106A	Drosophila sproati	Hawai'i Volcanoes National Park	Ola'a tract, pole 44	5/29/2017	6/3/2017	5	3/23/2017	baits	DOFAW I1012; HAVO-2017-SCI-0017	N19° 27.722' 	W155° 14.875'
025A	Drosophila picticornis	Koke'e State Park	Awa'awapuhi trail	4/15/2017	4/27/2017	12	3/24/2017	baits	DOFAW I1012; Koke'e state park K2017-2015; I1012; NARS special use; Kaua'i island forest reserves KPI-2017-114	N22° 08.481'	W159° 38.926'
002D	Drosophila nanella	Koke'e State Park	Drosophila ditch	4/13/2017	4/27/2017	14	3/4/2017	sweeping Paisonia Leaves	DOFAW I1012; Koke'e state park K2017-2015; I1012; NARS special use; Kaua'i island forest reserves KPI-2017-114	N22° 04.795'	W159° 40.448'
029A	Drosophila atroscutellata	Koke'e State Park	Nualolo trail	4/16/2017	4/23/2017	7	3/24/2017	sweeping Corynocarpus sp leaves	DOFAW I1012; Koke'e state park K2017-2015; I1012; NARS special use; Kaua'i island forest reserves KPI-2017-114	N22° 07.801'	W159° 39.617'
020A	Scaptomya varipicta	Koke'e State Park	Nualolo trail	4/15/2017	4/23/2017	8	3/21/2017	sweeping Cheirodendron sp. leaves	DOFAW I1012; Koke'e state park K2017-2015; I1012; NARS special use; Kaua'i island forest reserves KPI-2017-114	N22° 07.801'	W159° 39.617'
008D	Drosophila primaeva	Koke'e State Park	Pihea trail	4/14/2017	4/23/2017	9	3/24/2017	baits	DOFAW I1012; Koke'e state park K2017-2015; I1012; NARS special use; Kaua'i island forest reserves KPI-2017-114	N22° 08.799'	W159° 37.074'
CFB	Scaptomya varia	Koke'e State Park	Pihea trail	4/14/2017	5/15/2017	31	3/4/2017	collected rotting Clermontia sp flowers	DOFAW I1012; Koke'e state park K2017-2015; I1012; NARS special use; Kaua'i island forest reserves KPI-2017-114	N22° 08.799'	W159° 37.074'
088B	Scaptomya cyrtandrae	Stainback Highway	Army road - west	5/29/2017	6/3/2017	5	3/21/2017	on Cyrtandra platyphylla	DOFAW I1012; NARS special use; Hawai'i island forest reserve access permit	N19° 33.615' 	W155° 15.010'
