Subset	Type	Seqs	Sites	Infor	Invar	Model	Name
1		24	724	268	325		part18466
2		24	967	443	394		part17413
3		24	1267	519	530		part15607
4		24	931	323	449		part18198
5		24	1411	453	812		part13012
6		24	1445	540	629		part18243
7		24	1259	489	582		part18454
8		24	679	228	363		part16340
9		24	738	286	332		part18474
10		24	1034	270	627		part15188
11		24	1279	499	559		part17390
12		24	1014	328	583		part18416
13		24	1263	570	394		part16919
14		24	710	216	376		part17712
15		24	829	337	385		part18307
16		24	1278	499	616		part18292
17		24	1067	342	401		part18229
18		24	716	265	355		part18091
19		24	907	295	458		part18369
20		24	995	368	493		part17681
21		24	683	227	346		part16688
22		24	1458	484	792		part17679
23		24	624	167	400		part17294
24		24	1172	426	528		part16161
25		24	1552	404	1018		part17366
26		24	762	272	339		part18135
27		24	797	111	585		part14961
28		24	951	315	467		part18358
29		24	860	255	528		part14716
30		24	1298	392	711		part16943
31		24	692	232	410		part18406
32		24	1145	290	724		part18260
33		24	772	306	294		part18419
34		24	1197	345	704		part15065
35		23	504	97	335		part18971
36		23	687	229	387		part17645
37		23	537	189	269		part18003
38		23	668	155	422		part17428
39		23	592	276	235		part18680
40		23	478	197	198		part18924
41		23	638	219	309		part18788
42		23	1032	295	484		part18727
43		23	1406	563	668		part17950
44		23	999	288	591		part14907
45		23	2012	599	1174		part14672
46		23	1610	507	837		part13937
47		23	1267	454	620		part17790
48		23	1494	605	660		part18693
49		23	1028	322	599		part15079
50		23	1479	583	659		part18908
51		23	980	310	532		part18888
52		23	1600	777	628		part14951
53		23	1242	468	543		part17839
54		23	1299	551	559		part17182
55		23	461	201	196		part18612
56		23	843	261	446		part18658
57		23	606	244	256		part18450
58		23	683	266	302		part18669
59		23	870	372	382		part18655
60		23	1970	709	1081		part13959
61		23	553	163	336		part18873
62		23	1121	475	455		part18895
63		23	1019	435	433		part18608
64		23	1061	258	568		part17521
65		23	1403	469	682		part17465
66		23	2138	757	1088		part15010
67		23	686	271	311		part18678
68		23	1233	316	666		part18896
69		23	631	199	359		part18969
70		23	957	442	364		part18759
71		23	1324	655	471		part17742
72		23	1837	618	869		part15728
73		23	932	430	335		part18755
74		23	508	191	254		part18743
75		23	983	473	365		part15798
76		23	911	351	435		part13913
77		23	1183	491	513		part17852
78		23	1504	561	761		part17694
79		23	608	243	277		part14295
80		23	1398	274	954		part17979
81		23	938	298	464		part18672
82		23	648	89	473		part18697
83		23	662	200	333		part18890
84		23	1028	338	562		part18402
85		23	1457	475	834		part18919
86		23	1535	426	885		part14626
87		23	1316	305	853		part14777
88		23	1406	516	722		part18728
89		23	732	357	277		part18981
90		23	1248	507	568		part14699
91		23	624	241	304		part18649
92		23	2290	728	1303		part18438
93		23	1235	499	596		part17695
94		23	796	301	394		part18711
95		23	796	394	260		part17269
96		23	1088	499	405		part18862
97		23	1616	722	542		part18665
98		23	708	256	356		part12794
99		23	841	265	434		part13660
100		23	1201	404	455		part18297
101		23	518	244	188		part18635
102		23	715	268	325		part19004
103		23	1239	449	645		part18692
104		23	1372	493	578		part18851
105		23	1195	294	679		part18314
106		23	1052	360	563		part18736
107		23	603	196	303		part18710
108		23	1232	366	761		part17192
109		23	1054	254	555		part17851
110		23	1003	245	610		part17769
111		23	759	259	380		part18861
112		23	1450	544	641		part17768
113		23	1444	445	862		part15469
114		23	599	120	376		part16400
115		23	887	287	459		part18746
116		23	1702	691	766		part17801
117		23	1889	533	1137		part14808
118		23	1150	370	603		part17946
119		23	1121	482	490		part17880
120		23	492	137	265		part17999
121		23	999	317	548		part18248
122		23	784	234	390		part18853
123		23	1257	485	607		part17647
124		23	1039	277	577		part14596
125		23	1027	353	587		part17718
126		23	1193	463	543		part17738
127		23	2436	748	1503		part14949
128		23	1201	447	591		part15675
129		23	1054	375	564		part18810
130		23	1196	407	579		part18972
131		23	1046	431	466		part17789
132		23	1231	360	732		part17134
133		23	1387	632	550		part17997
134		23	1056	430	419		part17722
135		23	1041	359	574		part18622
136		23	1142	480	489		part18977
137		23	1500	492	804		part18719
138		23	1150	347	684		part17791
139		23	857	277	488		part17201
140		23	950	413	399		part18951
141		23	842	285	493		part15111
142		23	875	305	420		part18931
143		23	1357	517	708		part14241
144		23	996	341	487		part17926
145		23	1800	709	820		part18735
146		23	1132	209	793		part12863
147		23	2304	841	1141		part18429
148		23	804	327	379		part15024
149		23	953	296	583		part16617
150		23	639	179	364		part18854
151		23	761	224	388		part17471
152		23	1200	563	406		part17792
153		23	947	184	648		part17678
154		23	857	353	397		part18634
155		23	2096	799	1023		part16334
156		23	849	310	411		part17717
157		23	985	311	522		part14097
158		23	1440	831	380		part17998
159		23	1157	345	681		part14950
160		23	586	151	365		part18708
161		23	939	261	616		part15005
162		23	694	250	330		part14984
163		23	1470	590	705		part15185
164		23	1071	235	716		part18000
165		23	1498	512	791		part17661
166		23	760	301	350		part18852
167		23	856	303	432		part18744
168		23	1320	456	634		part17429
169		23	1035	264	610		part17877
170		23	755	376	271		part18648
171		23	768	330	358		part18623
172		23	2531	761	1454		part13581
173		23	1128	292	728		part12879
174		23	679	176	402		part18891
175		23	809	247	423		part18909
176		23	795	329	349		part18932
177		23	1345	603	583		part18978
178		23	1253	389	678		part17100
179		23	1040	323	601		part18501
180		23	1081	370	559		part18592
181		23	752	407	229		part19003
182		22	1284	314	812		part18443
183		22	465	110	274		part18838
184		22	453	151	245		part19123
185		22	1020	334	549		part19364
186		22	1140	390	627		part18483
187		22	513	75	371		part19208
188		22	969	289	514		part19113
189		22	1659	693	758		part15083
190		22	989	366	515		part15498
191		22	971	370	445		part17800
192		22	635	270	276		part19433
193		22	727	252	402		part18898
194		22	768	348	316		part19094
195		22	858	368	422		part19481
196		22	458	80	268		part14160
197		22	796	324	296		part19247
198		22	983	296	603		part15142
199		22	1022	370	520		part19150
200		22	1052	389	533		part19268
201		22	1675	691	768		part19449
202		22	652	215	373		part19314
203		22	790	321	342		part19236
204		22	995	413	311		part18333
205		22	1361	343	874		part15060
206		22	890	261	489		part14939
207		22	718	272	329		part19459
208		22	1226	505	528		part19337
209		22	705	181	421		part14354
210		22	575	177	300		part19239
211		22	587	205	290		part19190
212		22	1870	796	692		part19335
213		22	658	334	236		part19058
214		22	756	223	436		part19465
215		22	1988	924	808		part18874
216		22	867	265	495		part19438
217		22	1248	383	718		part15022
218		22	804	263	432		part18384
219		22	1682	543	973		part14916
220		22	630	127	368		part18298
221		22	1456	562	619		part19122
222		22	1226	338	750		part18411
